primary_method,standardized_method_name,method_class
lexicographic measure (banana third-arg multiset / cherry count / size),multiset_measure,direct_measure
"lexicographic measure (c(t), d(t), s(t))",lexicographic_measure,direct_measure
"lexicographic measure (C, G, S)",lexicographic_measure,direct_measure
"lexicographic measure (c, g, s)",lexicographic_measure,direct_measure
lexicographic measure (cancellable-layer count / size),lexicographic_measure,direct_measure
lexicographic measure (cherry / grape / banana-weight multiset),multiset_measure,direct_measure
lexicographic measure (cherry / grape / size),lexicographic_measure,direct_measure
lexicographic measure (cherry count / active grape count / size),lexicographic_measure,direct_measure
lexicographic measure (cherry count / banana arg height / size),lexicographic_measure,direct_measure
lexicographic measure (cherry count / banana grape-height multiset),multiset_measure,direct_measure
"lexicographic measure (cherry count, grape count, size)",lexicographic_measure,direct_measure
"lexicographic measure (cnt₁, cnt₂, cnt₃)",lexicographic_measure,direct_measure
"lexicographic measure (d, s)",lexicographic_measure,direct_measure
lexicographic measure (delta-depth in recΔ / term size),lexicographic_measure,direct_measure
"lexicographic measure (delta-depth multiset, node counts)",multiset_measure,direct_measure
"lexicographic measure (depth, weighted size)",lexicographic_measure,direct_measure
"lexicographic measure (E, D, S)",lexicographic_measure,direct_measure
"lexicographic measure (E, D, size)",lexicographic_measure,direct_measure
"lexicographic measure (e, d, |t|)",lexicographic_measure,direct_measure
"lexicographic measure (eqCount, recArgSizeSum, size)",lexicographic_measure,direct_measure
lexicographic measure (eqW / delta / size),lexicographic_measure,direct_measure
lexicographic measure (eqW / recΔ delta-depth / size),lexicographic_measure,direct_measure
lexicographic measure (eqW count + delta-depth),lexicographic_measure,direct_measure
lexicographic measure (eqW count / delta count / size),lexicographic_measure,direct_measure
lexicographic measure (eqW count / multiset of recΔ active depths / size),multiset_measure,direct_measure
lexicographic measure (eqW count / size),lexicographic_measure,direct_measure
"lexicographic measure (eqW count, delta-height multiset, delta count)",multiset_measure,direct_measure
lexicographic measure (eqW+recΔ count / recΔ delta-depth / delta+merge+integrate count),lexicographic_measure,direct_measure
"lexicographic measure (eqW, δrec, size)",lexicographic_measure,direct_measure
lexicographic measure (eqW-count / recΔ-ordinal / size),lexicographic_measure,direct_measure
lexicographic measure (eqW-count / term size),lexicographic_measure,direct_measure
lexicographic measure (eqW-count then SN subsystem),lexicographic_measure,direct_measure
lexicographic measure (eqW-depth multiset / recΔ-height multiset / size),multiset_measure,direct_measure
lexicographic measure (eqW-head flag / #recΔ / size),lexicographic_measure,direct_measure
lexicographic measure (eqW/delta/recΔ counts / weight),lexicographic_measure,direct_measure
lexicographic measure (eqW/merge/integrate/recΔ/delta counts),lexicographic_measure,direct_measure
"lexicographic measure (F-count, S-count in third argument)",lexicographic_measure,direct_measure
"lexicographic measure (F-count, S-depth)",lexicographic_measure,direct_measure
lexicographic measure (G C P S),lexicographic_measure,direct_measure
"lexicographic measure (g(t), s(t))",lexicographic_measure,direct_measure
"lexicographic measure (g, c, s)",lexicographic_measure,direct_measure
"lexicographic measure (g, s)",lexicographic_measure,direct_measure
lexicographic measure (grape / cherry / size),lexicographic_measure,direct_measure
lexicographic measure (grape count / cherry count / size),lexicographic_measure,direct_measure
lexicographic measure (grape count / size),lexicographic_measure,direct_measure
lexicographic measure (grape depth / pear / cherry / size),lexicographic_measure,direct_measure
"lexicographic measure (grape-stack length, size)",lexicographic_measure,direct_measure
"lexicographic measure (max_peel_rank, #bananas, size)",lexicographic_measure,direct_measure
lexicographic measure (normal-form flag then size),lexicographic_measure,direct_measure
"lexicographic measure (n₁, n₂, n₃, n₄)",lexicographic_measure,direct_measure
"lexicographic measure (occ cherry, occ grape, |t|)",lexicographic_measure,direct_measure
"lexicographic measure (rank, size)",lexicographic_measure,direct_measure
lexicographic measure (rec-unfolding depth / eqW-potential / height),lexicographic_measure,direct_measure
lexicographic measure (recursion measure then eqW-count),lexicographic_measure,direct_measure
lexicographic measure (recΔ δ-depth / size),lexicographic_measure,direct_measure
"lexicographic measure (recΔ-third-arg multiset, eqW count, size)",multiset_measure,direct_measure
"lexicographic measure (redex depth, constructor count)",lexicographic_measure,direct_measure
"lexicographic measure (root-redex count, size μ)",lexicographic_measure,direct_measure
"lexicographic measure (root-redex count, size)",lexicographic_measure,direct_measure
"lexicographic measure (S-count, F-count)",lexicographic_measure,direct_measure
"lexicographic measure (S-depth of third arg, #F)",lexicographic_measure,direct_measure
lexicographic measure (S-depth then #F),lexicographic_measure,direct_measure
"lexicographic measure (size, banana-grape flag)",lexicographic_measure,direct_measure
"lexicographic measure (size, unfolding depth)",lexicographic_measure,direct_measure
lexicographic measure (term height + active-constructor multiset),multiset_measure,direct_measure
lexicographic measure (term height + grape/cherry node count),lexicographic_measure,direct_measure
"lexicographic measure (term size, structural depth)",lexicographic_measure,direct_measure
"lexicographic measure (total S, #F-redexes)",lexicographic_measure,direct_measure
"lexicographic measure (trace-height, syntactic-size)",lexicographic_measure,direct_measure
"lexicographic measure (unfolding depth, weighted size)",lexicographic_measure,direct_measure
"lexicographic measure (α, β)",lexicographic_measure,direct_measure
"lexicographic measure (δ(t), |t|)",lexicographic_measure,direct_measure
"lexicographic measure (δ, ε, σ)",lexicographic_measure,direct_measure
"lexicographic measure (Δ, σ)",lexicographic_measure,direct_measure
lexicographic measure (Δ-depth / eqW-depth / size),lexicographic_measure,direct_measure
lexicographic measure (δ-depth / size),lexicographic_measure,direct_measure
"lexicographic measure (δ-height, size)",lexicographic_measure,direct_measure
lexicographic measure / multiset path order,lexicographic_measure,direct_measure
lexicographic measure / weighted interpretation,lexicographic_measure,direct_measure
lexicographic measure / well-founded ordering,lexicographic_measure,direct_measure
lexicographic measure argument,lexicographic_measure,direct_measure
lexicographic measure of global symbol counts,lexicographic_measure,direct_measure
lexicographic measure of total symbol occurrences,lexicographic_measure,direct_measure
lexicographic measure on #S and #F,lexicographic_measure,direct_measure
lexicographic measure on banana depth cherry weight and total size,lexicographic_measure,direct_measure
lexicographic measure on banana third-argument grape-depth,lexicographic_measure,direct_measure
lexicographic measure on banana third-argument grape-nesting depth,lexicographic_measure,direct_measure
lexicographic measure on banana-third-arg grape count and size,lexicographic_measure,direct_measure
lexicographic measure on banana-third-arg grape depth cherry count and size,lexicographic_measure,direct_measure
lexicographic measure on banana-third-argument grape-depth and term size,lexicographic_measure,direct_measure
lexicographic measure on cherry count grape count and size,lexicographic_measure,direct_measure
lexicographic measure on cherry-count banana-argument grape-depth sum and size,lexicographic_measure,direct_measure
lexicographic measure on cherry-count grape-count and size,lexicographic_measure,direct_measure
lexicographic measure on delta count and term size,lexicographic_measure,direct_measure
lexicographic measure on delta depth and term size,lexicographic_measure,direct_measure
lexicographic measure on delta nesting depth and node count,lexicographic_measure,direct_measure
lexicographic measure on delta-count and size,lexicographic_measure,direct_measure
lexicographic measure on delta-count eqW-count and residual constructor count,lexicographic_measure,direct_measure
lexicographic measure on delta-count eqW-count and size,lexicographic_measure,direct_measure
lexicographic measure on delta-depth eqW count and term size,lexicographic_measure,direct_measure
lexicographic measure on eqCount recArgSizeSum and size,lexicographic_measure,direct_measure
lexicographic measure on eqCount recΔ-arg size and term size,lexicographic_measure,direct_measure
lexicographic measure on eqW count delta count merge count recΔ count integrate count and size,lexicographic_measure,direct_measure
lexicographic measure on eqW count recΔ argument depth and size,lexicographic_measure,direct_measure
lexicographic measure on eqW count recΔ delta-prefix depth and size,lexicographic_measure,direct_measure
lexicographic measure on eqW recΔ-δ patterns and size,lexicographic_measure,direct_measure
lexicographic measure on eqW-count and recΔ third-argument size,lexicographic_measure,direct_measure
lexicographic measure on eqW-count recΔ delta-depth and size,lexicographic_measure,direct_measure
lexicographic measure on eqW-count recΔ-delta-layers and node count,lexicographic_measure,direct_measure
lexicographic measure on F count and S-depth,lexicographic_measure,direct_measure
lexicographic measure on grape banana cherry counts and term size,lexicographic_measure,direct_measure
lexicographic measure on grape count and size,lexicographic_measure,direct_measure
lexicographic measure on grape count and structural size,lexicographic_measure,direct_measure
lexicographic measure on grape count banana+cherry count and size,lexicographic_measure,direct_measure
lexicographic measure on grape count cherry count and size,lexicographic_measure,direct_measure
lexicographic measure on grape count tree size and cherry count,lexicographic_measure,direct_measure
lexicographic measure on grape depth and term size,lexicographic_measure,direct_measure
lexicographic measure on grape depth banana count and weighted size,lexicographic_measure,direct_measure
lexicographic measure on grape-count and size,lexicographic_measure,direct_measure
lexicographic measure on grape-count cherry-count and constructor size,lexicographic_measure,direct_measure
lexicographic measure on grape-depth and active constructor count,lexicographic_measure,direct_measure
lexicographic measure on grape-depth and term size,lexicographic_measure,direct_measure
lexicographic measure on grape-in-banana depth and size,lexicographic_measure,direct_measure
lexicographic measure on multiset of active constructors,multiset_measure,direct_measure
lexicographic measure on non-plum count depth and subtree-size sum,lexicographic_measure,direct_measure
lexicographic measure on recΔ argument structure and weighted size,lexicographic_measure,direct_measure
lexicographic measure on recΔ delta-depth and size,lexicographic_measure,direct_measure
lexicographic measure on recΔ delta-height multiset eqW-count and size,multiset_measure,direct_measure
lexicographic measure on recΔ height eqW count and size,lexicographic_measure,direct_measure
lexicographic measure on recΔ third-argument multiset and size,multiset_measure,direct_measure
lexicographic measure on recΔ-argument delta-depth and term size,lexicographic_measure,direct_measure
lexicographic measure on recΔ-delta-count and size,lexicographic_measure,direct_measure
lexicographic measure on redex-depth and constructor count with structural induction,structural_induction,structural_induction
lexicographic measure on root activity rank and size,lexicographic_measure,direct_measure
lexicographic measure on root-redex flag and term size,lexicographic_measure,direct_measure
lexicographic measure on S-count and F-count,lexicographic_measure,direct_measure
lexicographic measure on size and grape-position count,lexicographic_measure,direct_measure
lexicographic measure on size and recΔ-argument delta count,lexicographic_measure,direct_measure
lexicographic measure on size and recΔ-argument delta-chain weight,lexicographic_measure,direct_measure
lexicographic measure on structural size and delta-depth,lexicographic_measure,direct_measure
lexicographic measure on symbol counts,lexicographic_measure,direct_measure
lexicographic measure on term depth and weighted constructor size,lexicographic_measure,direct_measure
lexicographic measure on term structure,lexicographic_measure,direct_measure
lexicographic measure on total S and F occurrences,lexicographic_measure,direct_measure
lexicographic measure on trace-height and syntactic size,lexicographic_measure,direct_measure
lexicographic measure on weighted grape size and structural size,lexicographic_measure,direct_measure
lexicographic measure with active-constructor count and size,lexicographic_measure,direct_measure
lexicographic measure μ,lexicographic_measure,direct_measure
"lexicographic measure μ(t) = (e(t), c(t))",lexicographic_measure,direct_measure
"lexicographic measure ⟨size, δ-count in recΔ third arguments⟩",lexicographic_measure,direct_measure
lexicographic multicomponent measure over root redex counters and recΔ delta-chain length,lexicographic_measure,direct_measure
lexicographic multiset measure with term size fallback,multiset_measure,direct_measure
lexicographic natural-number interpretation,polynomial_interpretation,polynomial
lexicographic or weight-based ordering,lexicographic_measure,direct_measure
lexicographic order,lexicographic_measure,direct_measure
lexicographic order / polynomial interpretation,lexicographic_measure,direct_measure
lexicographic ordering,lexicographic_measure,direct_measure
lexicographic ordering / multiset path order on argument structure,lexicographic_measure,direct_measure
Lexicographic Ordering / Structural Induction,path_order_generic,path_order
lexicographic ordering / structural recursion on third argument,lexicographic_measure,direct_measure
Lexicographic ordering on S-depth,lexicographic_measure,direct_measure
lexicographic ordering on S-depth (3rd arg),lexicographic_measure,direct_measure
lexicographic ordering on S-depth (third argument),lexicographic_measure,direct_measure
lexicographic ordering on third argument,lexicographic_measure,direct_measure
lexicographic ordering with structural induction,structural_induction,structural_induction
lexicographic ordinal measure,lexicographic_measure,direct_measure
lexicographic pair,lexicographic_measure,direct_measure
"lexicographic pair (#F, #S) measure",lexicographic_measure,direct_measure
"lexicographic pair (multiset(ℕ), ℕ, ℕ)",multiset_measure,direct_measure
"lexicographic pair (μ, #F-redexes)",lexicographic_measure,direct_measure
lexicographic pair measure,lexicographic_measure,direct_measure
"lexicographic pair measure (α, β)",lexicographic_measure,direct_measure
lexicographic pair on leading S-symbols and F-nodes,lexicographic_measure,direct_measure
lexicographic pair on total S symbols and total F symbols,lexicographic_measure,direct_measure
"lexicographic pair ψ(t) = (r(t), φ(t))",lexicographic_measure,direct_measure
lexicographic path order,lpo,path_order
Lexicographic Path Order (LPO),lpo,path_order
lexicographic path order (LPO),lpo,path_order
Lexicographic Path Order (LPO) or polynomial interpretation,lpo,path_order
Lexicographic Path Order (LPO) with precedence F>G,lpo,path_order
"Lexicographic Path Order (LPO) with precedence F>G, F>S",lpo,path_order
"lexicographic path order (LPO) with precedence F>G,S,Z",lpo,path_order
lexicographic path order (LPO); polynomial interpretation,lpo,path_order
Lexicographic Path Order (LPO); Polynomial Interpretations,lpo,path_order
lexicographic path order (LPO); root-only size induction,lpo,path_order
Lexicographic Path Order (LPO); structural induction,lpo,path_order
Lexicographic Path Ordering,lpo,path_order
Lexicographic path ordering,lpo,path_order
lexicographic path ordering,lpo,path_order
Lexicographic Path Ordering (LPO),lpo,path_order
lexicographic path ordering (LPO),lpo,path_order
Lexicographic Path Ordering (LPO) / Interpretation Function,lpo,path_order
Lexicographic Path Ordering (LPO) / Polynomial Interpretation,lpo,path_order
Lexicographic Path Ordering (LPO) / Recursive Path Ordering (RPO),lpo,path_order
Lexicographic Path Ordering (LPO) or Polynomial Interpretation,lpo,path_order
Lexicographic Path Ordering (LPO) with precedence F>G,lpo,path_order
Lexicographic Path Ordering (LPO); Polynomial Interpretation,lpo,path_order
Lexicographic Path Ordering (LPO); polynomial interpretation,lpo,path_order
Lexicographic path ordering (LPO); polynomial interpretation,lpo,path_order
lexicographic path ordering (LPO); polynomial interpretation,lpo,path_order
Lexicographic Path Ordering (LPO); Polynomial Interpretations,lpo,path_order
Lexicographic Path Ordering (LPO); Recursive Path Ordering (RPO),lpo,path_order
"lexicographic path ordering (LPO, precedence F>G)",lpo,path_order
lexicographic path ordering / measure,lpo,path_order
"lexicographic path ordering / measure (F-count, S-depth)",lpo,path_order
lexicographic path ordering / polynomial interpretation,lpo,path_order
Lexicographic Path Ordering / Recursive Path Ordering,lpo,path_order
lexicographic path ordering / recursive path ordering,lpo,path_order
Lexicographic path ordering / well-founded measure,lpo,path_order
lexicographic path ordering and polynomial interpretation,lpo,path_order
lexicographic path ordering or multiset path ordering,lpo,path_order
lexicographic path ordering or polynomial interpretation,lpo,path_order
lexicographic path ordering or recursive path ordering,lpo,path_order
lexicographic path ordering; recursive path ordering,lpo,path_order
Lexicographic polynomial interpretation,polynomial_interpretation,polynomial
lexicographic polynomial interpretation,polynomial_interpretation,polynomial
lexicographic polynomial interpretation on cherry-count grape-count and size,polynomial_interpretation,polynomial
lexicographic product (multiset of recΔ depths / size),multiset_measure,direct_measure
lexicographic ranking,lexicographic_measure,direct_measure
"lexicographic ranking (size, # of S)",lexicographic_measure,direct_measure
"lexicographic ranking (term size, # of S symbols)",lexicographic_measure,direct_measure
lexicographic recursive path ordering,lpo,path_order
lexicographic recursive path ordering (LPO/RPO),lpo,path_order
Lexicographic Recursive Path Ordering (RecPO),rpo,path_order
lexicographic S-count/term-size measure,lexicographic_measure,direct_measure
lexicographic S/F-count measure,lexicographic_measure,direct_measure
lexicographic structural measure,lexicographic_measure,direct_measure
lexicographic symbol-count measure,lexicographic_measure,direct_measure
lexicographic term-size/S-count measure,lexicographic_measure,direct_measure
lexicographic termination measure,lexicographic_measure,direct_measure
lexicographic termination measure (pair of naturals),lexicographic_measure,direct_measure
"lexicographic termination measure on (#S, #F)",lexicographic_measure,direct_measure
lexicographic triple (cherry / grape / size),lexicographic_measure,direct_measure
lexicographic triple (eqW+recΔ count / delta count / size),lexicographic_measure,direct_measure
lexicographic triple measure,lexicographic_measure,direct_measure
lexicographic tuple,lexicographic_measure,direct_measure
"lexicographic tuple (d, e, m)",lexicographic_measure,direct_measure
lexicographic tuple measure,lexicographic_measure,direct_measure
lexicographic tuple measure on delta-count eqW-count and merge-count,lexicographic_measure,direct_measure
lexicographic weight argument,lexicographic_measure,direct_measure
lexicographic well-founded measure over delta eqW merge counts,lexicographic_measure,direct_measure
lexicographic well-founded measure over recΔ-argument size multiset eqW count and term size,multiset_measure,direct_measure
lexicographic well-founded order on term size and recΔ unfolding depth,path_order_generic,path_order
lexicographic well-founded ordering with recΔ-depth and weighted size components,path_order_generic,path_order
lexicographic-weight termination ordering,path_order_generic,path_order
lexicographic/measure argument on term structure,lexicographic_measure,direct_measure
lexicographic/multiset measure (eqW-count / recΔ-depth multiset / size),multiset_measure,direct_measure
lexicographic/multiset path order (RPO),rpo,path_order
lexicographic/multiset path ordering,path_order_generic,path_order
lexicographic/multiset path ordering + well-founded induction,path_order_generic,path_order
lexicographic/path ordering,path_order_generic,path_order
lexicographic/polynomial argument,lexicographic_measure,direct_measure
lexicographic/polynomial measure,lexicographic_measure,direct_measure
Lexicographic/Recursive Path Ordering,lpo,path_order
Lexicographic/recursive path ordering,lpo,path_order
lexicographic/recursive path ordering,lpo,path_order
Lexicographic/Recursive Path Ordering (LPO/RPO),lpo,path_order
lexicographic/recursive path ordering (LPO/RPO),lpo,path_order
lexicographic/size measure on third argument,lexicographic_measure,direct_measure
lexicographical path ordering,lpo,path_order
Lexicographical Path Ordering (LPO),lpo,path_order
Lexicographical Path Ordering (LPO); structural induction,lpo,path_order
LPO,lpo,path_order
LPO (lexicographic path order),lpo,path_order
LPO (lexicographic path ordering),lpo,path_order
LPO + polynomial interpretation,lpo,path_order
LPO + structural induction,lpo,path_order
LPO / MPO,path_order_generic,path_order
LPO / RPO,path_order_generic,path_order
LPO / weight function,lpo,path_order
LPO path order,lpo,path_order
LPO with precedence F > G,lpo,path_order
LPO/path order,lpo,path_order
LPO/path order or multiset measure,lpo,path_order
LPO/RPO,path_order_generic,path_order
LPO/RPO / polynomial interpretation,lpo,path_order
LPO/RPO path order,path_order_generic,path_order
LPO/RPO path order; lexicographic measure (g c s),path_order_generic,path_order
LPO/RPO reduction ordering,path_order_generic,path_order
LPO/RPO; polynomial interpretation,lpo,path_order
LPO; RPO; structural induction,lpo,path_order
LPO; simple subterm argument,lpo,path_order
"M(t) = (is-redex(t), |t|)",lexicographic_measure,direct_measure
measure,direct_measure,direct_measure
measure (number of S in third argument of F),direct_measure,direct_measure
measure (structural size of third argument),direct_measure,direct_measure
measure (sum of S in third argument of F),direct_measure,direct_measure
measure (sum of sizes of third arguments of F),direct_measure,direct_measure
measure (total S in third argument of F),direct_measure,direct_measure
"measure / monotone interpretation into (ℕ,>)",polynomial_interpretation,polynomial
measure / well-foundedness of natural numbers,direct_measure,direct_measure
measure argument / structural recursion (subterm / RPO),direct_measure,direct_measure
measure counting S symbols,direct_measure,direct_measure
measure counting S symbols in third argument,direct_measure,direct_measure
measure counting S symbols in third arguments,direct_measure,direct_measure
measure counting S-constructors in third argument,direct_measure,direct_measure
measure counting S-occurrences in third argument of F,direct_measure,direct_measure
