primary_method,active_standardized_method_name,active_method_class,scoring_standardized_method_name,scoring_method_class,instructions_standardized_method_name,instructions_method_class,final_standardized_method_name,final_method_class,decision
constructor-size measure with per-rule decrease checks,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
contextual TRS termination via simplification ordering,,,path_order_generic,path_order,path_order_generic,path_order,path_order_generic,path_order,scoring_reviewed_migration
count of S constructors,,,s_count_measure,direct_measure,s_count_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
custom lexicographic measure,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
custom multiset-based measure,,,multiset_measure,direct_measure,multiset_measure,direct_measure,multiset_measure,direct_measure,scoring_reviewed_migration
custom well-founded measure,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
decrease-in-a-natural-number measure; Recursive Path Ordering (RPO),,,direct_measure,direct_measure,,,direct_measure,direct_measure,scoring_reviewed_migration
decreasing count of S in third argument,direct_measure,direct_measure,direct_measure,direct_measure,,,direct_measure,direct_measure,sources_agree
decreasing measure,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
decreasing measure (#F + #S occurrences),direct_measure,direct_measure,direct_measure,direct_measure,,,direct_measure,direct_measure,sources_agree
decreasing measure (count of S in third argument),,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
decreasing measure (height of third argument),,,third_argument_height_measure,direct_measure,third_argument_height_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
decreasing measure / ranking function,,,direct_measure,direct_measure,,,direct_measure,direct_measure,scoring_reviewed_migration
decreasing measure / termination ordering,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
decreasing measure argument,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
decreasing measure on structural size of third argument,direct_measure,direct_measure,direct_measure,direct_measure,,,direct_measure,direct_measure,sources_agree
decreasing measure on the third argument of `F`,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
decreasing measure on third argument,,,direct_measure,direct_measure,,,direct_measure,direct_measure,scoring_reviewed_migration
decreasing measure on third argument of F,direct_measure,direct_measure,direct_measure,direct_measure,,,direct_measure,direct_measure,sources_agree
decreasing measure on third-argument size,direct_measure,direct_measure,direct_measure,direct_measure,,,direct_measure,direct_measure,sources_agree
decreasing multiset/natural-number measure,,,multiset_measure,direct_measure,,,multiset_measure,direct_measure,scoring_reviewed_migration
decreasing recursive-argument / structural descent,,,structural_descent,structural_descent,,,structural_descent,structural_descent,scoring_reviewed_migration
decreasing S-constructor count measure,direct_measure,direct_measure,direct_measure,direct_measure,,,direct_measure,direct_measure,sources_agree
decreasing well-founded measure,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
decreasing-argument / structural-recursion on third argument of F,,,structural_descent,structural_descent,,,structural_descent,structural_descent,scoring_reviewed_migration
decreasing-measure / ranking argument,,,direct_measure,direct_measure,,,direct_measure,direct_measure,scoring_reviewed_migration
decreasing-measure / structural recursion,,,direct_measure,direct_measure,,,direct_measure,direct_measure,scoring_reviewed_migration
decreasing-measure / well-founded ordering,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
decreasing-measure argument,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
decreasing-measure argument on occurrences of `F`,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
decreasing-measure/structural recursion,,,direct_measure,direct_measure,,,direct_measure,direct_measure,scoring_reviewed_migration
decreasing‑measure,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
decreasing‑measure argument,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
decreasing‑measure proof,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
delta-count descent argument,,,delta_count_measure,direct_measure,delta_count_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
delta-count lexicographic measure,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
delta-count measure,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
delta-depth structural descent,,,structural_descent,structural_descent,structural_descent,structural_descent,structural_descent,structural_descent,scoring_reviewed_migration
demonstrating a non-terminating reduction sequence by substitution,,,objection_or_non_method,objection,objection_or_non_method,objection,objection_or_non_method,objection,scoring_reviewed_migration
dependency graph analysis,,,dependency_pairs,transformed_calls,dependency_pairs,transformed_calls,dependency_pairs,transformed_calls,scoring_reviewed_migration
Dependency pair method,,,dependency_pairs,transformed_calls,dependency_pairs,transformed_calls,dependency_pairs,transformed_calls,scoring_reviewed_migration
dependency pair method,dependency_pairs,transformed_calls,dependency_pairs,transformed_calls,dependency_pairs,transformed_calls,dependency_pairs,transformed_calls,sources_agree
dependency pair method / size-based interpretation,,,dependency_pairs,transformed_calls,dependency_pairs,transformed_calls,dependency_pairs,transformed_calls,scoring_reviewed_migration
dependency pairs,,,dependency_pairs,transformed_calls,dependency_pairs,transformed_calls,dependency_pairs,transformed_calls,scoring_reviewed_migration
Dependency Pairs (DP) and Lexicographic Path Ordering (LPO),dependency_pairs,transformed_calls,dependency_pairs,transformed_calls,,,dependency_pairs,transformed_calls,sources_agree
Dependency Pairs (DP) and Lexicographic Path Ordering (LPO) with argument permutation,dependency_pairs,transformed_calls,,,,,dependency_pairs,transformed_calls,active_only
dependency pairs + polynomial interpretation + LPO,,,dependency_pairs,transformed_calls,,,dependency_pairs,transformed_calls,scoring_reviewed_migration
dependency pairs / matrix interpretations,,,dependency_pairs,transformed_calls,dependency_pairs,transformed_calls,dependency_pairs,transformed_calls,scoring_reviewed_migration
Dependency pairs method,,,dependency_pairs,transformed_calls,dependency_pairs,transformed_calls,dependency_pairs,transformed_calls,scoring_reviewed_migration
dependency pairs with lexicographic measure,,,dependency_pairs,transformed_calls,dependency_pairs,transformed_calls,dependency_pairs,transformed_calls,scoring_reviewed_migration
dependency pairs with size-based interpretation,,,dependency_pairs,transformed_calls,dependency_pairs,transformed_calls,dependency_pairs,transformed_calls,scoring_reviewed_migration
dependency pairs/subterm criterion; LPO/RPO,dependency_pairs,transformed_calls,dependency_pairs,transformed_calls,,,dependency_pairs,transformed_calls,sources_agree
dependency pairs; LPO/RPO,,,dependency_pairs,transformed_calls,,,dependency_pairs,transformed_calls,scoring_reviewed_migration
depth / total S count measure,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
depth measure on third argument,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
descending-measure termination argument,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
descent counting (S constructors),,,direct_measure,direct_measure,,,direct_measure,direct_measure,scoring_reviewed_migration
eqW-count measure + terminating non-eqW subsystem (size / recΔ delta-count),direct_measure,direct_measure,,,,,direct_measure,direct_measure,active_only
exhibiting infinite family of longer normalizing derivations,,,objection_or_non_method,objection,,,objection_or_non_method,objection,scoring_reviewed_migration
explicit infinite reduction sequence,,,objection_or_non_method,objection,,,objection_or_non_method,objection,scoring_reviewed_migration
exponential interpretation,polynomial_interpretation,polynomial,,,,,polynomial_interpretation,polynomial,active_only
external termination ordering,,,path_order_generic,path_order,,,path_order_generic,path_order,scoring_reviewed_migration
finiteness of S-prefix on third argument,direct_measure,direct_measure,direct_measure,direct_measure,,,direct_measure,direct_measure,sources_agree
global S-count and term-size measures,direct_measure,direct_measure,,,,,direct_measure,direct_measure,active_only
global variant m(t),,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
grape-nesting depth measure,,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
height decrease; LPO or MPO,,,direct_measure,direct_measure,,,direct_measure,direct_measure,scoring_reviewed_migration
height of third argument,,,third_argument_height_measure,direct_measure,third_argument_height_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
induction on lexicographic measure over eqW-count and recΔ-delta-depth complexity,,,induction_argument,structural_induction,induction_argument,structural_induction,structural_induction,structural_induction,scoring_reviewed_migration
induction on peeling depth,,,induction_argument,structural_induction,induction_argument,structural_induction,structural_induction,structural_induction,scoring_reviewed_migration
induction on peeling depth with secondary size induction,,,induction_argument,structural_induction,induction_argument,structural_induction,structural_induction,structural_induction,scoring_reviewed_migration
induction on size,,,induction_argument,structural_induction,induction_argument,structural_induction,structural_induction,structural_induction,scoring_reviewed_migration
induction on size of second argument,structural_induction,structural_induction,,,,,structural_induction,structural_induction,active_only
induction on syntactic measure / subterm ordering,,,structural_induction,structural_induction,,,structural_induction,structural_induction,scoring_reviewed_migration
induction on term size,induction_argument,structural_induction,induction_argument,structural_induction,induction_argument,structural_induction,structural_induction,structural_induction,sources_agree
induction on term size / multiset or lexicographic measure,structural_induction,structural_induction,structural_induction,structural_induction,,,structural_induction,structural_induction,sources_agree
induction on term size over root-rewriting cases,,,induction_argument,structural_induction,induction_argument,structural_induction,structural_induction,structural_induction,scoring_reviewed_migration
induction on term size with irreducible-expansion case split,,,induction_argument,structural_induction,induction_argument,structural_induction,structural_induction,structural_induction,scoring_reviewed_migration
induction on term size with root-constructor case split,,,induction_argument,structural_induction,induction_argument,structural_induction,structural_induction,structural_induction,scoring_reviewed_migration
induction on term size with root-only increasing-step isolation,,,induction_argument,structural_induction,induction_argument,structural_induction,structural_induction,structural_induction,scoring_reviewed_migration
induction on term structure,,,induction_argument,structural_induction,induction_argument,structural_induction,structural_induction,structural_induction,scoring_reviewed_migration
induction on third argument of F,structural_induction,structural_induction,structural_induction,structural_induction,,,structural_induction,structural_induction,sources_agree
inductive analysis,,,structural_induction,structural_induction,structural_induction,structural_induction,structural_induction,structural_induction,scoring_reviewed_migration
inductive analysis and structural termination,,,structural_induction,structural_induction,structural_induction,structural_induction,structural_induction,structural_induction,scoring_reviewed_migration
inert-G reachable-redex argument,structural_descent,structural_descent,,,,,structural_descent,structural_descent,active_only
informal analysis,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
Informal analysis of decreasing successor depth,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
informal analysis of decreasing successor depth,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
informal analysis of reduction sequences,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
informal analysis of the rewrite rules,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
informal argument assuming the third argument represents natural numbers,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
informal decrease argument,,,direct_measure,direct_measure,,,direct_measure,direct_measure,scoring_reviewed_migration
informal decreasing-measure argument,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
informal descent argument (S-depth of third argument),,,direct_measure,direct_measure,,,direct_measure,direct_measure,scoring_reviewed_migration
Informal measure argument,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
informal measure argument,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
informal measure/structural-recursion argument,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
informal reasoning about potential infinite descent,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
Informal semantic analysis,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
informal semantic analysis,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
Informal structural analysis,,,structural_descent,structural_descent,structural_descent,structural_descent,structural_descent,structural_descent,scoring_reviewed_migration
informal structural analysis,,,structural_descent,structural_descent,structural_descent,structural_descent,structural_descent,structural_descent,scoring_reviewed_migration
informal structural analysis of recursion,,,structural_descent,structural_descent,structural_descent,structural_descent,structural_descent,structural_descent,scoring_reviewed_migration
informal structural decrease,,,structural_descent,structural_descent,structural_descent,structural_descent,structural_descent,structural_descent,scoring_reviewed_migration
informal structural descent,,,structural_descent,structural_descent,structural_descent,structural_descent,structural_descent,structural_descent,scoring_reviewed_migration
informal structural induction,,,structural_induction,structural_induction,structural_induction,structural_induction,structural_induction,structural_induction,scoring_reviewed_migration
informal structural-decrease argument,,,structural_descent,structural_descent,,,structural_descent,structural_descent,scoring_reviewed_migration
informal structural-descent argument,,,structural_descent,structural_descent,structural_descent,structural_descent,structural_descent,structural_descent,scoring_reviewed_migration
informal structural/measure argument,,,structural_descent,structural_descent,structural_descent,structural_descent,structural_descent,structural_descent,scoring_reviewed_migration
informal structural/semantic argument,,,structural_descent,structural_descent,structural_descent,structural_descent,structural_descent,structural_descent,scoring_reviewed_migration
informal structural/shape-based reasoning,,,structural_descent,structural_descent,structural_descent,structural_descent,structural_descent,structural_descent,scoring_reviewed_migration
informal syntactic argument,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
informal termination analysis,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
informal termination argument based on decreasing S-count,,,s_count_measure,direct_measure,s_count_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
informal well-founded descent argument,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
informal well-founded measure,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
intuitive analysis based on pattern matching and reduction sequences,,,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,direct_measure,scoring_reviewed_migration
KBO (Knuth-Bendix ordering),,,path_order_generic,path_order,,,path_order_generic,path_order,scoring_reviewed_migration
Knuth-Bendix Ordering (KBO),path_order_generic,path_order,path_order_generic,path_order,,,path_order_generic,path_order,sources_agree
lexicographic / path ordering,,,path_order_generic,path_order,,,path_order_generic,path_order,scoring_reviewed_migration
Lexicographic / Recursive Path Ordering,,,lpo,path_order,lpo,path_order,lpo,path_order,scoring_reviewed_migration
lexicographic / recursive term measure,lexicographic_measure,direct_measure,,,,,lexicographic_measure,direct_measure,active_only
lexicographic 4-tuple (cherry/grape/peach/banana counts),lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
lexicographic combination of measures,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
lexicographic constructor-count measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
lexicographic constructor-count/depth measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
lexicographic constructor-count/size measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
Lexicographic counting of S and F symbols,,,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic F/S-count measure,lexicographic_measure,direct_measure,,,,,lexicographic_measure,direct_measure,active_only
lexicographic interpretation into naturals,polynomial_interpretation,polynomial,polynomial_interpretation,polynomial,,,polynomial_interpretation,polynomial,sources_agree
lexicographic leading-S measure,lexicographic_measure,direct_measure,,,,,lexicographic_measure,direct_measure,active_only
lexicographic measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,sources_agree
lexicographic measure (#eqW / #recΔ / delta-depth multiset / size),multiset_measure,direct_measure,,,,,multiset_measure,direct_measure,active_only
"lexicographic measure (#F, #S)",lexicographic_measure,direct_measure,,,,,lexicographic_measure,direct_measure,active_only
lexicographic measure (#grape #cherry size),lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
lexicographic measure (#grape / #cherry / size),lexicographic_measure,direct_measure,,,,,lexicographic_measure,direct_measure,active_only
"lexicographic measure (#grape, size)",,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure (#S #F),lexicographic_measure,direct_measure,,,,,lexicographic_measure,direct_measure,active_only
"lexicographic measure (#S, #F)",lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
lexicographic measure (banana grape-depth multiset / size),multiset_measure,direct_measure,,,,,multiset_measure,direct_measure,active_only
lexicographic measure (banana third-arg multiset / cherry count / size),multiset_measure,direct_measure,,,,,multiset_measure,direct_measure,active_only
"lexicographic measure (c(t), d(t), s(t))",,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
"lexicographic measure (C, G, S)",,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
"lexicographic measure (c, g, s)",,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure (cancellable-layer count / size),lexicographic_measure,direct_measure,,,,,lexicographic_measure,direct_measure,active_only
lexicographic measure (cherry / grape / banana-weight multiset),multiset_measure,direct_measure,,,,,multiset_measure,direct_measure,active_only
lexicographic measure (cherry / grape / size),lexicographic_measure,direct_measure,,,,,lexicographic_measure,direct_measure,active_only
lexicographic measure (cherry count / active grape count / size),lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
lexicographic measure (cherry count / banana arg height / size),lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
lexicographic measure (cherry count / banana grape-height multiset),multiset_measure,direct_measure,,,,,multiset_measure,direct_measure,active_only
"lexicographic measure (cherry count, grape count, size)",lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
"lexicographic measure (cnt₁, cnt₂, cnt₃)",,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
"lexicographic measure (d, s)",,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure (delta-depth in recΔ / term size),lexicographic_measure,direct_measure,,,,,lexicographic_measure,direct_measure,active_only
"lexicographic measure (delta-depth multiset, node counts)",multiset_measure,direct_measure,multiset_measure,direct_measure,,,multiset_measure,direct_measure,sources_agree
"lexicographic measure (depth, weighted size)",,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
"lexicographic measure (E, D, S)",,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
"lexicographic measure (E, D, size)",lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
"lexicographic measure (e, d, |t|)",,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
"lexicographic measure (eqCount, recArgSizeSum, size)",,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure (eqW / delta / size),lexicographic_measure,direct_measure,,,,,lexicographic_measure,direct_measure,active_only
lexicographic measure (eqW / recΔ delta-depth / size),lexicographic_measure,direct_measure,,,,,lexicographic_measure,direct_measure,active_only
lexicographic measure (eqW count + delta-depth),lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
lexicographic measure (eqW count / delta count / size),lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
lexicographic measure (eqW count / multiset of recΔ active depths / size),multiset_measure,direct_measure,multiset_measure,direct_measure,,,multiset_measure,direct_measure,sources_agree
lexicographic measure (eqW count / size),lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
"lexicographic measure (eqW count, delta-height multiset, delta count)",multiset_measure,direct_measure,multiset_measure,direct_measure,,,multiset_measure,direct_measure,sources_agree
lexicographic measure (eqW+recΔ count / recΔ delta-depth / delta+merge+integrate count),lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
"lexicographic measure (eqW, δrec, size)",,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure (eqW-count / recΔ-ordinal / size),lexicographic_measure,direct_measure,,,,,lexicographic_measure,direct_measure,active_only
lexicographic measure (eqW-count / term size),lexicographic_measure,direct_measure,,,,,lexicographic_measure,direct_measure,active_only
lexicographic measure (eqW-count then SN subsystem),lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
lexicographic measure (eqW-depth multiset / recΔ-height multiset / size),multiset_measure,direct_measure,,,,,multiset_measure,direct_measure,active_only
lexicographic measure (eqW-head flag / #recΔ / size),lexicographic_measure,direct_measure,,,,,lexicographic_measure,direct_measure,active_only
lexicographic measure (eqW/delta/recΔ counts / weight),lexicographic_measure,direct_measure,,,,,lexicographic_measure,direct_measure,active_only
lexicographic measure (eqW/merge/integrate/recΔ/delta counts),lexicographic_measure,direct_measure,,,,,lexicographic_measure,direct_measure,active_only
"lexicographic measure (F-count, S-count in third argument)",lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
"lexicographic measure (F-count, S-depth)",lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
lexicographic measure (G C P S),lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
"lexicographic measure (g(t), s(t))",,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
"lexicographic measure (g, c, s)",,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
"lexicographic measure (g, s)",,,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,scoring_reviewed_migration
lexicographic measure (grape / cherry / size),lexicographic_measure,direct_measure,,,,,lexicographic_measure,direct_measure,active_only
lexicographic measure (grape count / cherry count / size),lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
lexicographic measure (grape count / size),lexicographic_measure,direct_measure,lexicographic_measure,direct_measure,,,lexicographic_measure,direct_measure,sources_agree
