label,surfaces,n_uses
decreasing measure on third-argument size,SCHEMA_A_NEW_SYSTEM,1
decreasing multiset/natural-number measure,SCHEMA_A_NEW_SYSTEM,1
decreasing recursive-argument / structural descent,SCHEMA_A_NEW_SYSTEM,1
decreasing-argument / structural-recursion on third argument of F,SCHEMA_A,1
decreasing-measure / ranking argument,SCHEMA_A_NEW_SYSTEM,1
decreasing-measure / structural recursion,SCHEMA_A_NEW_SYSTEM,2
decreasing-measure/structural recursion,SCHEMA_A,1
dependency pairs + polynomial interpretation + LPO,SCHEMA_A_NEW_SYSTEM,1
dependency pairs/subterm criterion; LPO/RPO,SCHEMA_A,1
dependency pairs; LPO/RPO,SCHEMA_A,1
descent counting (S constructors),SCHEMA_A_NEW_SYSTEM,1
exhibiting infinite family of longer normalizing derivations,SCHEMA_A,1
explicit infinite reduction sequence,SCHEMA_A;SCHEMA_A_NEW_SYSTEM,5
external termination ordering,SCHEMA_A,1
finiteness of S-prefix on third argument,SCHEMA_A_NEW_SYSTEM,1
height decrease; LPO or MPO,SCHEMA_A,1
induction on syntactic measure / subterm ordering,SCHEMA_A_NEW_SYSTEM,1
induction on term size / multiset or lexicographic measure,SCHEMA_A_NEW_SYSTEM,1
induction on third argument of F,SCHEMA_A,1
informal decrease argument,SCHEMA_A_NEW_SYSTEM,1
informal descent argument (S-depth of third argument),SCHEMA_A_NEW_SYSTEM,1
informal structural-decrease argument,SCHEMA_A,1
lexicographic / path ordering,SCHEMA_A_NEW_SYSTEM,1
lexicographic 4-tuple (cherry/grape/peach/banana counts),TEST01,1
lexicographic combination of measures,SCHEMA_A,1
lexicographic constructor-count measure,TEST01,1
lexicographic constructor-count/depth measure,TEST01,1
lexicographic constructor-count/size measure,TEST01,4
lexicographic interpretation into naturals,SCHEMA_A,1
"lexicographic measure (#S, #F)",SCHEMA_A_NEW_SYSTEM,2
lexicographic measure (#grape #cherry size),TEST01,1
"lexicographic measure (E, D, size)",TEST01,1
"lexicographic measure (F-count, S-count in third argument)",SCHEMA_A_NEW_SYSTEM,1
"lexicographic measure (F-count, S-depth)",SCHEMA_A_NEW_SYSTEM,2
lexicographic measure (G C P S),TEST01,1
"lexicographic measure (S-depth of third arg, #F)",SCHEMA_A_NEW_SYSTEM,1
lexicographic measure (cherry count / active grape count / size),TEST01,1
lexicographic measure (cherry count / banana arg height / size),TEST01,1
"lexicographic measure (cherry count, grape count, size)",TEST01,1
"lexicographic measure (delta-depth multiset, node counts)",TEST01,1
lexicographic measure (eqW count + delta-depth),TEST01,2
lexicographic measure (eqW count / delta count / size),TEST01,1
lexicographic measure (eqW count / multiset of recΔ active depths / size),TEST01,1
lexicographic measure (eqW count / size),TEST01,1
"lexicographic measure (eqW count, delta-height multiset, delta count)",TEST01,1
lexicographic measure (eqW+recΔ count / recΔ delta-depth / delta+merge+integrate count),TEST01,1
lexicographic measure (eqW-count then SN subsystem),TEST01,1
lexicographic measure (grape count / cherry count / size),TEST01,1
lexicographic measure (grape count / size),TEST01,1
lexicographic measure (grape depth / pear / cherry / size),TEST01,1
lexicographic measure (normal-form flag then size),TEST01,1
lexicographic measure (recursion measure then eqW-count),TEST01,1
"lexicographic measure (root-redex count, size)",TEST01,1
lexicographic measure (term height + grape/cherry node count),TEST01,1
lexicographic measure (Δ-depth / eqW-depth / size),TEST01,1
lexicographic measure (δ-depth / size),TEST01,1
"lexicographic measure (δ-height, size)",TEST01,1
lexicographic measure / multiset path order,TEST01,1
lexicographic measure / weighted interpretation,TEST01,1
lexicographic measure of global symbol counts,SCHEMA_A,1
lexicographic measure of total symbol occurrences,SCHEMA_A,1
lexicographic measure on #S and #F,SCHEMA_A,2
lexicographic measure on F count and S-depth,SCHEMA_A,1
lexicographic measure on S-count and F-count,SCHEMA_A,1
lexicographic measure on multiset of active constructors,TEST01,1
lexicographic measure on symbol counts,SCHEMA_A_NEW_SYSTEM,1
lexicographic measure on term structure,TEST01,1
lexicographic measure on total S and F occurrences,SCHEMA_A,1
lexicographic natural-number interpretation,SCHEMA_A,1
lexicographic order / polynomial interpretation,TEST01,1
lexicographic ordering / structural recursion on third argument,SCHEMA_A,1
lexicographic ordering on S-depth (third argument),SCHEMA_A,1
lexicographic ordinal measure,TEST01,1
"lexicographic pair (#F, #S) measure",SCHEMA_A_NEW_SYSTEM,1
"lexicographic pair (μ, #F-redexes)",SCHEMA_A_NEW_SYSTEM,1
"lexicographic pair measure (α, β)",TEST01,1
lexicographic pair on leading S-symbols and F-nodes,SCHEMA_A,1
lexicographic pair on total S symbols and total F symbols,SCHEMA_A,1
lexicographic path order (LPO),SCHEMA_A;SCHEMA_A_NEW_SYSTEM;TEST01,5
"lexicographic path order (LPO) with precedence F>G,S,Z",SCHEMA_A_NEW_SYSTEM,1
lexicographic path order (LPO); polynomial interpretation,SCHEMA_A,1
lexicographic path ordering (LPO); polynomial interpretation,SCHEMA_A,1
"lexicographic path ordering (LPO, precedence F>G)",SCHEMA_A_NEW_SYSTEM,1
lexicographic path ordering / measure,SCHEMA_A,1
"lexicographic path ordering / measure (F-count, S-depth)",SCHEMA_A_NEW_SYSTEM,1
lexicographic path ordering / polynomial interpretation,SCHEMA_A_NEW_SYSTEM,2
lexicographic path ordering; recursive path ordering,SCHEMA_A,1
lexicographic product (multiset of recΔ depths / size),TEST01,1
lexicographic ranking,TEST01,2
"lexicographic ranking (term size, # of S symbols)",SCHEMA_A_NEW_SYSTEM,1
lexicographic structural measure,TEST01,1
lexicographic termination measure (pair of naturals),SCHEMA_A_NEW_SYSTEM,1
"lexicographic termination measure on (#S, #F)",SCHEMA_A_NEW_SYSTEM,1
lexicographic triple (cherry / grape / size),TEST01,1
lexicographic triple (eqW+recΔ count / delta count / size),TEST01,1
lexicographic triple measure,TEST01,1
lexicographic/measure argument on term structure,SCHEMA_A,1
lexicographic/multiset path order (RPO),TEST01,1
lexicographic/multiset path ordering,SCHEMA_A_NEW_SYSTEM,1
lexicographic/multiset path ordering + well-founded induction,SCHEMA_A_NEW_SYSTEM,1
lexicographic/polynomial measure,TEST01,1
"measure / monotone interpretation into (ℕ,>)",SCHEMA_A_NEW_SYSTEM,1
measure argument / structural recursion (subterm / RPO),SCHEMA_A_NEW_SYSTEM,1
measure counting S symbols in third argument,SCHEMA_A_NEW_SYSTEM,2
measure counting S-occurrences in third argument of F,SCHEMA_A_NEW_SYSTEM,1
measure counting S-symbols in third argument,SCHEMA_A_NEW_SYSTEM,1
measure descent (S-depth of third argument of F),SCHEMA_A_NEW_SYSTEM,1
measure on S-depth of third argument,SCHEMA_A_NEW_SYSTEM,1
measure on S-depths of F third arguments,SCHEMA_A,1
measure on S-nesting depth,SCHEMA_A_NEW_SYSTEM,1
measure on leading S constructors in third argument,SCHEMA_A,2
measure on leading S-constructors in third argument,SCHEMA_A,1
measure on size/depth of third argument,SCHEMA_A_NEW_SYSTEM,1
measure on third argument of F,SCHEMA_A,1
measure on third argument with Peano/ℕ well-founded induction,SCHEMA_A_NEW_SYSTEM,1
measure on third-argument S-length; recursive path ordering,SCHEMA_A,1
measure on total S symbols in F third arguments,SCHEMA_A,1
measure summing S-symbols over F occurrences,SCHEMA_A_NEW_SYSTEM,1
measure summing third-argument sizes over F occurrences,SCHEMA_A_NEW_SYSTEM,1
measure-based argument on S-depth of third argument,SCHEMA_A_NEW_SYSTEM,1
measure-based counting argument (symbol counts),SCHEMA_A_NEW_SYSTEM,1
measure-based lexicographic ordering of symbol-counts,SCHEMA_A_NEW_SYSTEM,1
measure-decrease argument,SCHEMA_A,1
measure-decrease/structural descent,SCHEMA_A,1
measure/decrease argument,SCHEMA_A,1
measure/interpretation (counting nested S) plus induction,SCHEMA_A_NEW_SYSTEM,1
measure/ordering argument (S-depth),SCHEMA_A_NEW_SYSTEM,1
measure/ordering argument; multiset extension,SCHEMA_A,1
measure/ranking argument (counting S-symbols),SCHEMA_A_NEW_SYSTEM,1
measure/structural descent,SCHEMA_A_NEW_SYSTEM,17
measure/structural descent on third argument,SCHEMA_A_NEW_SYSTEM,2
measure/weight argument (lexicographic pair),SCHEMA_A_NEW_SYSTEM,1
measure/weight argument counting S-occurrences,SCHEMA_A_NEW_SYSTEM,1
"meta-level ""decreasing argument"" / primitive-recursion intuition",SCHEMA_A,1
monotone measure/interpretation μ on symbols,SCHEMA_A_NEW_SYSTEM,1
monotone polynomial interpretation,SCHEMA_A;TEST01,2
monotone polynomial/interpretation argument,SCHEMA_A,1
monotonic interpretation into naturals,TEST01,1
multiset depth measure; recursive path order; polynomial interpretation,SCHEMA_A,1
multiset measure of third-argument depths,SCHEMA_A_NEW_SYSTEM,1
multiset measure of third-argument sizes,SCHEMA_A_NEW_SYSTEM,1
multiset measure on eqW-potential,TEST01,1
multiset measure on third argument,SCHEMA_A_NEW_SYSTEM,1
multiset measure on third-argument S-depths,SCHEMA_A,1
multiset measure on third-argument sizes,SCHEMA_A,1
multiset of S-depths; Recursive Path Ordering,SCHEMA_A,1
multiset order; lexicographic path order,SCHEMA_A,1
multiset ordering,SCHEMA_A_NEW_SYSTEM,1
multiset ordering / measure,SCHEMA_A_NEW_SYSTEM,1
multiset/depth measure on third arguments,SCHEMA_A,1
multiset/lexicographic measure,TEST01,1
multiset/lexicographic measure (S-count),SCHEMA_A_NEW_SYSTEM,1
multiset/lexicographic measure on third argument,SCHEMA_A_NEW_SYSTEM,1
multiset/polynomial interpretation,SCHEMA_A,1
multiset/sum measure on third-argument sizes; RPO/LPO,SCHEMA_A,1
natural measure on nested S constructors,SCHEMA_A,1
natural-number measure / interpretation,SCHEMA_A_NEW_SYSTEM,1
natural-number measure on S occurrences,SCHEMA_A_NEW_SYSTEM,1
natural-number measure on leading S-symbols,SCHEMA_A,1
natural-number measure on nested grapes (with polynomial interpretation),TEST01,1
numeric (natural-number) measure / well-founded ordering,SCHEMA_A_NEW_SYSTEM,1
numeric measure (#F + #S),SCHEMA_A_NEW_SYSTEM,1
numeric weight interpretation,SCHEMA_A_NEW_SYSTEM,1
numeric weight/interpretation,SCHEMA_A_NEW_SYSTEM,1
ordering-based termination proof (polynomial interpretation / LPO),SCHEMA_A_NEW_SYSTEM,1
polynomial / interpretation argument,SCHEMA_A,1
polynomial / measure interpretation,SCHEMA_A_NEW_SYSTEM,1
polynomial interpretation (+ LPO),SCHEMA_A_NEW_SYSTEM,2
polynomial interpretation (linear weight assignment),TEST01,1
polynomial interpretation (size measure),TEST01,1
polynomial interpretation (weight function),TEST01,1
polynomial interpretation / lexicographic path order,SCHEMA_A_NEW_SYSTEM,1
polynomial interpretation / lexicographic path ordering,SCHEMA_A_NEW_SYSTEM,4
polynomial interpretation / natural-number measure,TEST01,1
polynomial interpretation / structural induction,SCHEMA_A_NEW_SYSTEM,1
polynomial interpretation / well-founded measure,SCHEMA_A,1
polynomial interpretation / well-founded measure descent,SCHEMA_A_NEW_SYSTEM,1
polynomial interpretation / well-founded reduction ordering,SCHEMA_A;SCHEMA_A_NEW_SYSTEM,2
polynomial interpretation and RPO,SCHEMA_A_NEW_SYSTEM,1
polynomial interpretation into ℕ,SCHEMA_A;TEST01,2
polynomial interpretation or lexicographic path order (F>G),SCHEMA_A_NEW_SYSTEM,1
polynomial interpretation; LPO/RPO,SCHEMA_A,1
polynomial interpretation; dependency pair/subterm criterion,SCHEMA_A,1
polynomial interpretation; recursive path order,SCHEMA_A,1
polynomial interpretation; recursive path ordering,SCHEMA_A,1
polynomial interpretation; recursive path ordering (RPO),SCHEMA_A,1
polynomial interpretation; subterm criterion,SCHEMA_A,1
polynomial/measure interpretation,SCHEMA_A;TEST01,2
polynomial/monotone interpretation,TEST01,1
polynomial/numeric interpretation,SCHEMA_A,1
polynomial/ordinal interpretation,SCHEMA_A,1
polynomial/size interpretation; well-founded ordering,SCHEMA_A,1
primitive recursive pattern on third argument of F,SCHEMA_A,1
rank function,SCHEMA_A,1
rank function on third-argument constructor depth,SCHEMA_A,1
ranking function on third argument to F,SCHEMA_A,1
recursive measure / polynomial interpretation,TEST01,1
recursive path order (RPO),SCHEMA_A;SCHEMA_A_NEW_SYSTEM;TEST01,12
"recursive path order (RPO) with precedence F>G, lexicographic status",SCHEMA_A_NEW_SYSTEM,1
recursive path order with precedence F≻G≻S≻Z,SCHEMA_A_NEW_SYSTEM,1
recursive path ordering (RPO) / S-count measure,SCHEMA_A_NEW_SYSTEM,1
recursive path ordering (RPO) with chosen precedence,SCHEMA_A_NEW_SYSTEM,4
recursive path ordering (RPO) with precedence F>G,SCHEMA_A_NEW_SYSTEM,1
recursive path ordering (RPO); induction on S-count,SCHEMA_A,1
recursive path ordering (RPO); polynomial interpretation,SCHEMA_A,2
"recursive path ordering (RPO, precedence F>G)",SCHEMA_A_NEW_SYSTEM,1
"recursive path ordering (RPO, precedence F>G>S>Z)",SCHEMA_A_NEW_SYSTEM,1
recursive path ordering with precedence F≻G≻S≻Z,SCHEMA_A_NEW_SYSTEM,1
recursive path ordering; induction on S-symbol count,SCHEMA_A,1
recursive structure argument (decreasing argument),SCHEMA_A_NEW_SYSTEM,1
recursive/lexicographic path order,TEST01,1
recursive/lexicographic path ordering (RPO/LPO),TEST01,1
recursive/lexicographic path ordering; size measure,SCHEMA_A,1
resource-counting + structural size measure,TEST01,1
root-only RHS-is-normal-form,TEST01,2
root-only RHS-normal-form / subterm size descent,TEST01,1
root-only case analysis (literal reading); monotone polynomial interpretation into ℕ (congruence-closed reading),TEST01,1
root-only reduction / LPO,TEST01,1
root-only size descent + RHS-is-normal-form,TEST01,1
root-only structural descent; polynomial interpretation / MPO,TEST01,1
root-only structural descent; polynomial/exponential interpretation,TEST01,1
root-only subterm/size descent + RHS-is-normal-form,TEST01,1
root-reduction structural argument; polynomial interpretation,TEST01,2
semantic termination argument via a well-founded measure,SCHEMA_A,1
semantic weight / polynomial interpretation,SCHEMA_A_NEW_SYSTEM,1
semantic weight/measure argument,SCHEMA_A,1
simple measure on size of third argument,SCHEMA_A,1
simple measure on third argument,SCHEMA_A,1
simple size measure / case analysis on eight rules,TEST01,1
simple termination measure,SCHEMA_A,1
simplification ordering (RPO / polynomial interpretation),SCHEMA_A_NEW_SYSTEM,1
simplification ordering (recursive path ordering or polynomial interpretation),SCHEMA_A_NEW_SYSTEM,1
simplification ordering / lexicographic path ordering,SCHEMA_A,1
size descent (constructor count) with terminal rules,TEST01,1
size/measure + RPO + polynomial interpretation,SCHEMA_A_NEW_SYSTEM,1
size/numeric interpretation,SCHEMA_A,1
standard structural induction on third argument of F,SCHEMA_A,1
structural decrease of third argument,SCHEMA_A,4
structural decreasing measure / lexicographic path argument,SCHEMA_A_NEW_SYSTEM,1
structural descent (root-only well-founded induction on finite depth),TEST01,1
structural descent (root-step / proper-subterm),TEST01,1
structural descent (root-step) + polynomial interpretation,TEST01,3
structural descent (root-step) / natural-number measure,TEST01,1
structural descent / measure argument,SCHEMA_A_NEW_SYSTEM,1
structural descent / natural-number measure (third argument depth),SCHEMA_A_NEW_SYSTEM,1
structural descent / size argument,TEST01,1
structural descent argument on the third argument,SCHEMA_A,1
structural descent on S-constructor,SCHEMA_A_NEW_SYSTEM,1
structural descent on third argument (subterm relation),SCHEMA_A_NEW_SYSTEM,1
structural induction (root-step normal-or-smaller),TEST01,1
structural induction / accessibility (root-step descent),TEST01,1
structural induction / measure on third argument,SCHEMA_A_NEW_SYSTEM,1
structural induction / polynomial interpretation,SCHEMA_A_NEW_SYSTEM,2
structural induction / subterm descent on third argument,SCHEMA_A,1
structural induction / well-founded ordering (S-depth of third argument),SCHEMA_A_NEW_SYSTEM,1
structural induction on term size,TEST01,1
structural induction on the third argument,SCHEMA_A_NEW_SYSTEM,1
structural induction on third argument,SCHEMA_A;SCHEMA_A_NEW_SYSTEM,5
structural induction on third argument; Lexicographic Path Ordering (LPO),SCHEMA_A,1
structural induction/recursion on third argument,SCHEMA_A_NEW_SYSTEM,1
structural induction; polynomial interpretation,SCHEMA_A,1
structural measure (S-constructor count on third argument),SCHEMA_A_NEW_SYSTEM,1
"structural measure descent (root-only, multiset of constructors)",TEST01,1
structural ordering; polynomial interpretation,SCHEMA_A,1
structural recursion / decrease argument,SCHEMA_A_NEW_SYSTEM,1
structural recursion / decreasing argument,SCHEMA_A_NEW_SYSTEM,1
structural recursion / subterm relation,SCHEMA_A_NEW_SYSTEM,1
structural recursion / termination measure (S-depth of third argument),SCHEMA_A_NEW_SYSTEM,1
structural recursion / well-founded ordering (S-constructor measure),SCHEMA_A_NEW_SYSTEM,1
structural recursion argument,SCHEMA_A,1
structural recursion on third argument,SCHEMA_A,1
structural recursion; Lexicographic Path Order (LPO); recursive path ordering,SCHEMA_A,1
structural recursion; Lexicographic Path Order; subterm ordering,SCHEMA_A,1
structural recursion; Lexicographic Path Ordering (LPO),SCHEMA_A,2
structural recursion; monotone polynomial interpretation; recursive path ordering,SCHEMA_A,1
structural recursion; polynomial interpretation; recursive path ordering,SCHEMA_A,1
structural recursion; well-founded ordering,SCHEMA_A,1
structural size measure (constructor count),TEST01,1
"structural size measure (root-only, no congruence closure)",TEST01,1
structural size measure / case analysis on 8 rules (no congruence closure),TEST01,4
structural subterm / size descent (root-reduction),TEST01,1
structural subterm descent (root-reduction),TEST01,1
structural well-founded induction (root-step descent),TEST01,1
structural-decrease / primitive-recursion intuition,SCHEMA_A_NEW_SYSTEM,1
structural-decrease argument,SCHEMA_A_NEW_SYSTEM,1
structural/recursive descent on third argument,SCHEMA_A_NEW_SYSTEM,1
structural/size descent (root-only rewriting),TEST01,5
"structural/size descent (root-only, no congruence)",TEST01,1
structural/size-decreasing argument,SCHEMA_A,1
structural/subterm argument (well-founded ordering on naturals),SCHEMA_A_NEW_SYSTEM,1
structural/subterm descent (root-only rewriting),TEST01,1
structural/subterm induction (informal RPO),SCHEMA_A,1
subterm criterion; lexicographic path ordering,SCHEMA_A,1
subterm descent / measure argument,SCHEMA_A_NEW_SYSTEM,1
subterm relation / RPO,SCHEMA_A_NEW_SYSTEM,1
subterm/size measure on third argument,SCHEMA_A_NEW_SYSTEM,1
syntactic measure (count of S in third argument),SCHEMA_A_NEW_SYSTEM,1
syntactic measure + RPO,SCHEMA_A_NEW_SYSTEM,1
syntactic measure / lexicographic order,SCHEMA_A_NEW_SYSTEM,1
termination measure (syntactic size / S-depth of third argument),SCHEMA_A_NEW_SYSTEM,1
termination ordering; lexicographic/recursive path ordering,SCHEMA_A,1
termination proof by a well-founded measure,SCHEMA_A,1
top-level size descent; MPO/LPO path order,TEST01,1
top-level structural descent; LPO / constructor-count measure,TEST01,1
top-level structural descent; Lexicographic Path Ordering (LPO),TEST01,1
top-level structural descent; recursive path ordering (RPO),TEST01,1
top-level-only reduction / finite chains,TEST01,1
top-level-only reduction / structural measure,TEST01,1
weight function / polynomial interpretation,TEST01,1
weight-function / polynomial interpretation on S-nesting depth,SCHEMA_A_NEW_SYSTEM,1
weight-or measure-based termination proof,SCHEMA_A,1
weight/measure argument counting S symbols,SCHEMA_A_NEW_SYSTEM,1
weight/polynomial interpretation,SCHEMA_A_NEW_SYSTEM,1
weighted natural-number interpretation,TEST01,1
weighted recursive measure / interpretation into naturals,TEST01,1
well-founded Nat measure / structural descent,TEST01,1
well-founded descent / measure argument,SCHEMA_A_NEW_SYSTEM,1
well-founded descent / structural recursion,SCHEMA_A,1
well-founded descent on Peano numeral in third argument,SCHEMA_A,1
"well-founded lexicographic measure (S-count, F-count)",SCHEMA_A_NEW_SYSTEM,1
well-founded measure (eqW weight + delta-depth),TEST01,1
well-founded measure / lexicographic ranking,TEST01,1
well-founded measure / structural descent argument,SCHEMA_A_NEW_SYSTEM,1
well-founded measure by structural induction on third argument,SCHEMA_A_NEW_SYSTEM,1
well-founded measure on S-symbols in third argument of F,SCHEMA_A_NEW_SYSTEM,1
well-founded measure on terms,SCHEMA_A_NEW_SYSTEM,1
well-founded measure on third argument of F,SCHEMA_A,2
well-founded measure on total S count in third argument,SCHEMA_A_NEW_SYSTEM,1
well-founded multiset / lexicographic ordering proof,SCHEMA_A,1
well-founded multiset measure on third-argument sizes,SCHEMA_A_NEW_SYSTEM,1
well-founded numeric measure / RPO precedence,SCHEMA_A,1
well-founded order on third argument of F,SCHEMA_A,1
well-founded simplification ordering,SCHEMA_A,1
well-founded structural induction on Trace,TEST01,2
well-founded structural measure (cherry count + banana-grape depth),TEST01,1
well-founded structural measure (grape-count descent),TEST01,1
well-founded subterm relation on third argument,SCHEMA_A,1
"well-founded term measure (F-count, S-depth)",SCHEMA_A_NEW_SYSTEM,1
