primary_method,standardized_method_name,method_class,provenance,reason
Multiset Path Ordering (MPO),path_order_generic,path_order,double-blind-2026-07-06:agree,matches dictionary 'multiset path ordering' -> path_order_generic
Multiset order on S-nesting depth,multiset_measure,direct_measure,double-blind-2026-07-06:agree,"multiset of depth values, a multiset measure not a path order"
Multiset ordering on S-nesting depths,multiset_measure,direct_measure,double-blind-2026-07-06:agree,"multiset of depth values, a multiset measure not a path order"
Polynomial Interpretation or Lexicographic Path Ordering (LPO),polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,leads with polynomial interpretation as primary
Polynomial interpretation into the natural numbers,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,interpretation into N
Polynomial interpretation over natural numbers,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,interpretation into N
Polynomial interpretation; Lexicographic Path Ordering,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,leads with polynomial interpretation as primary
Polynomial interpretation; lexicographic path ordering (LPO/RPO),polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,leads with polynomial interpretation as primary
Polynomial interpretation; well-foundedness argument,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,polynomial interpretation with routine well-foundedness appeal
RPO (Recursive Path Order),rpo,path_order,double-blind-2026-07-06:agree,explicit RPO
RPO (recursive path order),rpo,path_order,double-blind-2026-07-06:agree,explicit RPO
RPO (recursive path ordering),rpo,path_order,double-blind-2026-07-06:agree,explicit RPO
RPO path order,rpo,path_order,double-blind-2026-07-06:agree,explicit RPO
RPO/KBO path order; lexicographic measure (g c s),rpo,path_order,double-blind-2026-07-06:agree,leads with RPO; matches 'RPO/LPO / ...' -> rpo precedent
RPO/LPO path order,rpo,path_order,double-blind-2026-07-06:agree,leads with RPO like dictionary 'RPO/LPO / S-nesting depth interpretation'
RPO/path order,rpo,path_order,double-blind-2026-07-06:agree,leads with RPO; generic path-order tag secondary
RPO/simplification ordering,rpo,path_order,double-blind-2026-07-06:agree,leads with RPO; simplification ordering is path-order family
Ranking function,direct_measure,direct_measure,double-blind-2026-07-06:agree,numeric ranking function is a decreasing measure
Recursive Path Ordering (RPO) / Lexicographic Path Ordering (LPO); Polynomial Interpretation,rpo,path_order,double-blind-2026-07-06:agree,leads with RPO; matches Recursive/lexicographic (RPO/LPO) -> rpo precedent
Recursive Path Ordering (RPO) with precedence F>G,rpo,path_order,double-blind-2026-07-06:agree,matches dictionary RPO with precedence F > G
Recursive Path Ordering (RPO/LPO); Polynomial Interpretations,rpo,path_order,double-blind-2026-07-06:agree,leads with RPO; polynomial is secondary
Recursive path ordering (RPO/LPO); polynomial interpretation,rpo,path_order,double-blind-2026-07-06:agree,leads with RPO; polynomial is secondary
Recursive/Lexicographic Path Ordering (LPO),lpo,path_order,double-blind-2026-07-06:agree,explicit acronym names LPO specifically
S-constructor count in third argument,direct_measure,direct_measure,double-blind-2026-07-06:agree,S-count measure per rename rules
S-depth/F measure,direct_measure,direct_measure,double-blind-2026-07-06:agree,S-depth measure per rename rules
S-symbol count measure,direct_measure,direct_measure,double-blind-2026-07-06:agree,S-count measure per rename rules
Semantic argument,direct_measure,direct_measure,double-blind-2026-07-06:agree,matches informal semantic analysis -> direct_measure precedent
Structural induction on depth of third argument,structural_induction,structural_induction,double-blind-2026-07-06:agree,plain structural induction on term structure
Structural induction on third argument,structural_induction,structural_induction,double-blind-2026-07-06:agree,matches dictionary entry exactly
Structural induction; Lexicographic Path Ordering (LPO),structural_induction,structural_induction,double-blind-2026-07-06:agree,leads with structural induction; LPO secondary
Structural induction; recursive path order (RPO/LPO),structural_induction,structural_induction,double-blind-2026-07-06:agree,leads with structural induction; path order secondary
Structural induction; structural size decrease,structural_induction,structural_induction,double-blind-2026-07-06:agree,leads with structural induction
Structural induction; structural size-decrease,structural_induction,structural_induction,double-blind-2026-07-06:agree,leads with structural induction
Structural induction; structural subterm ordering,structural_induction,structural_induction,double-blind-2026-07-06:agree,leads with structural induction; matches induction/subterm precedent
Structural recursion on third argument,structural_descent,structural_descent,double-blind-2026-07-06:agree,structural_recursion renamed to structural_descent
decrease-in-a-natural-number measure; Recursive Path Ordering (RPO),direct_measure,direct_measure,double-blind-2026-07-06:agree,leads with natural-number decreasing measure; RPO secondary
decreasing S-constructor count measure,direct_measure,direct_measure,double-blind-2026-07-06:agree,S-count measure per rename rules
decreasing count of S in third argument,direct_measure,direct_measure,double-blind-2026-07-06:agree,matches decreasing measure (count of S) precedent
decreasing measure (#F + #S occurrences),direct_measure,direct_measure,double-blind-2026-07-06:agree,symbol-count decreasing measure
decreasing measure / ranking function,direct_measure,direct_measure,double-blind-2026-07-06:agree,decreasing measure; ranking function is same mechanism
decreasing measure on structural size of third argument,direct_measure,direct_measure,double-blind-2026-07-06:agree,size-based decreasing measure
decreasing measure on third argument,direct_measure,direct_measure,double-blind-2026-07-06:agree,matches dictionary decreasing measure entries
decreasing measure on third argument of F,direct_measure,direct_measure,double-blind-2026-07-06:agree,matches dictionary entry exactly
decreasing measure on third-argument size,direct_measure,direct_measure,double-blind-2026-07-06:agree,size-based decreasing measure
decreasing multiset/natural-number measure,multiset_measure,direct_measure,double-blind-2026-07-06:agree,leads with multiset measure
decreasing recursive-argument / structural descent,structural_descent,structural_descent,double-blind-2026-07-06:agree,structure/recursion-based descent without numeric measure
decreasing-argument / structural-recursion on third argument of F,structural_descent,structural_descent,double-blind-2026-07-06:agree,structural recursion renamed to structural_descent
decreasing-measure / ranking argument,direct_measure,direct_measure,double-blind-2026-07-06:agree,decreasing measure; ranking is same mechanism
decreasing-measure / structural recursion,direct_measure,direct_measure,double-blind-2026-07-06:agree,leads with measure; matches informal measure/structural-recursion precedent
decreasing-measure/structural recursion,direct_measure,direct_measure,double-blind-2026-07-06:agree,leads with measure; matches informal measure/structural-recursion precedent
dependency pairs + polynomial interpretation + LPO,dependency_pairs,transformed_calls,double-blind-2026-07-06:agree,leads with dependency pairs; others secondary
dependency pairs/subterm criterion; LPO/RPO,dependency_pairs,transformed_calls,double-blind-2026-07-06:agree,dependency pairs with subterm criterion counts as dependency_pairs
dependency pairs; LPO/RPO,dependency_pairs,transformed_calls,double-blind-2026-07-06:agree,leads with dependency pairs; path order secondary
descent counting (S constructors),direct_measure,direct_measure,double-blind-2026-07-06:agree,S-constructor counting measure
exhibiting infinite family of longer normalizing derivations,objection_or_non_method,objection,double-blind-2026-07-06:agree,not a termination method; argues unbounded derivations
explicit infinite reduction sequence,objection_or_non_method,objection,double-blind-2026-07-06:agree,non-termination witness; matches non-terminating sequence precedent
external termination ordering,path_order_generic,path_order,double-blind-2026-07-06:agree,matches termination ordering -> path_order_generic precedent
finiteness of S-prefix on third argument,direct_measure,direct_measure,double-blind-2026-07-06:agree,S-prefix count/size finiteness is a counting measure
height decrease; LPO or MPO,direct_measure,direct_measure,double-blind-2026-07-06:agree,leads with height-decrease measure; path orders secondary
induction on syntactic measure / subterm ordering,structural_induction,structural_induction,double-blind-2026-07-06:agree,induction on a measure; matches induction_argument precedent
induction on term size / multiset or lexicographic measure,structural_induction,structural_induction,double-blind-2026-07-06:agree,leads with induction on term size; matches induction_argument precedent
induction on third argument of F,structural_induction,structural_induction,double-blind-2026-07-06:agree,plain induction on term structure
informal decrease argument,direct_measure,direct_measure,double-blind-2026-07-06:agree,informal decrease without structure reference reads as size/measure descent
informal descent argument (S-depth of third argument),direct_measure,direct_measure,double-blind-2026-07-06:agree,names an S-depth count measure; matches informal successor-depth precedent
informal structural-decrease argument,structural_descent,structural_descent,double-blind-2026-07-06:agree,informal structural decrease matches dictionary structural_descent rows
lexicographic / path ordering,path_order_generic,path_order,double-blind-2026-07-06:adjudicated,ADJUDICATED: slash-ambiguous between LPO and generic; conservative generic per LPO / MPO precedent
lexicographic 4-tuple (cherry/grape/peach/banana counts),lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,tuple of counts ordered lexicographically
lexicographic combination of measures,lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,measures combined lexicographically
lexicographic constructor-count measure,lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,constructor counts compared lexicographically
lexicographic constructor-count/depth measure,lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,count and depth components in lexicographic order
lexicographic constructor-count/size measure,lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,count and size components in lexicographic order
lexicographic interpretation into naturals,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,interpretation into naturals is the mechanism; natural_number_interpretation renames to polynomial_interpretation
"lexicographic measure (#S, #F)",lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,pair of symbol counts ordered lexicographically
lexicographic measure (#grape #cherry size),lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,count/size tuple ordered lexicographically
"lexicographic measure (E, D, size)",lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,triple of counts/size ordered lexicographically
"lexicographic measure (F-count, S-count in third argument)",lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,pair of counts ordered lexicographically
"lexicographic measure (F-count, S-depth)",lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,count/depth pair ordered lexicographically
lexicographic measure (G C P S),lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,tuple of symbol counts ordered lexicographically
"lexicographic measure (S-depth of third arg, #F)",lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,depth/count pair ordered lexicographically
lexicographic measure (cherry count / active grape count / size),lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,count/size triple ordered lexicographically
lexicographic measure (cherry count / banana arg height / size),lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,count/height/size triple ordered lexicographically
"lexicographic measure (cherry count, grape count, size)",lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,count/size triple ordered lexicographically
"lexicographic measure (delta-depth multiset, node counts)",multiset_measure,direct_measure,double-blind-2026-07-06:agree,multiset component present; dictionary maps lexicographic-with-multiset to multiset_measure
lexicographic measure (eqW count + delta-depth),lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,count/depth components ordered lexicographically
lexicographic measure (eqW count / delta count / size),lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,count/size triple ordered lexicographically
lexicographic measure (eqW count / multiset of recΔ active depths / size),multiset_measure,direct_measure,double-blind-2026-07-06:agree,multiset component present; follows multiset_measure precedent
lexicographic measure (eqW count / size),lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,count/size pair ordered lexicographically
"lexicographic measure (eqW count, delta-height multiset, delta count)",multiset_measure,direct_measure,double-blind-2026-07-06:agree,multiset component present; follows multiset_measure precedent
lexicographic measure (eqW+recΔ count / recΔ delta-depth / delta+merge+integrate count),lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,count/depth triple ordered lexicographically
lexicographic measure (eqW-count then SN subsystem),lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,staged lexicographic count measure
lexicographic measure (grape count / cherry count / size),lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,count/size triple ordered lexicographically
lexicographic measure (grape count / size),lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,count/size pair ordered lexicographically
lexicographic measure (grape depth / pear / cherry / size),lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,depth/count/size tuple ordered lexicographically
lexicographic measure (normal-form flag then size),lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,flag/size pair like root-redex flag precedent
lexicographic measure (recursion measure then eqW-count),lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,staged measure components ordered lexicographically
"lexicographic measure (root-redex count, size)",lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,count/size pair ordered lexicographically
lexicographic measure (term height + grape/cherry node count),lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,height/count components in lexicographic measure
lexicographic measure (Δ-depth / eqW-depth / size),lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,depth/size triple ordered lexicographically
lexicographic measure (δ-depth / size),lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,depth/size pair ordered lexicographically
"lexicographic measure (δ-height, size)",lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,height/size pair ordered lexicographically
lexicographic measure / multiset path order,lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,compound label; leads with lexicographic measure as primary
lexicographic measure / weighted interpretation,lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,compound label; leads with lexicographic measure as primary
lexicographic measure of global symbol counts,lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,symbol counts compared lexicographically
lexicographic measure of total symbol occurrences,lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,occurrence counts compared lexicographically
lexicographic measure on #S and #F,lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,pair of symbol counts ordered lexicographically
lexicographic measure on F count and S-depth,lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,count/depth pair ordered lexicographically
lexicographic measure on S-count and F-count,lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,pair of counts ordered lexicographically
lexicographic measure on multiset of active constructors,multiset_measure,direct_measure,double-blind-2026-07-06:agree,multiset component present; follows multiset_measure precedent
lexicographic measure on symbol counts,lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,symbol counts compared lexicographically
lexicographic measure on term structure,lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,lexicographic tuple measure on term structure
lexicographic measure on total S and F occurrences,lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,lexicographic pair of symbol counts
lexicographic natural-number interpretation,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,natural-number interpretation maps to polynomial_interpretation per rename rules
lexicographic order / polynomial interpretation,lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,compound; leads with lexicographic order which maps to lexicographic_measure
lexicographic ordering / structural recursion on third argument,lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,compound; leads with lexicographic ordering (dict: lexicographic ordering -> lexicographic_measure)
lexicographic ordering on S-depth (third argument),lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,lexicographic ordering on depth counts is a lexicographic measure
lexicographic ordinal measure,lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,lexicographic tuple measure; no explicit ordinal-valued interpretation equations
"lexicographic pair (#F, #S) measure",lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,pair of counts ordered lexicographically
"lexicographic pair (μ, #F-redexes)",lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,pair of numeric components ordered lexicographically
"lexicographic pair measure (α, β)",lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,pair measure ordered lexicographically
lexicographic pair on leading S-symbols and F-nodes,lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,pair of counts ordered lexicographically
lexicographic pair on total S symbols and total F symbols,lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,pair of symbol counts ordered lexicographically
lexicographic path order (LPO),lpo,path_order,double-blind-2026-07-06:agree,explicit LPO
"lexicographic path order (LPO) with precedence F>G,S,Z",lpo,path_order,double-blind-2026-07-06:agree,explicit LPO with precedence
lexicographic path order (LPO); polynomial interpretation,lpo,path_order,double-blind-2026-07-06:agree,compound; leads with LPO (dict convention)
lexicographic path ordering (LPO); polynomial interpretation,lpo,path_order,double-blind-2026-07-06:agree,compound; leads with LPO (dict convention)
"lexicographic path ordering (LPO, precedence F>G)",lpo,path_order,double-blind-2026-07-06:agree,explicit LPO with precedence
lexicographic path ordering / measure,lpo,path_order,double-blind-2026-07-06:agree,compound; leads with LPO
"lexicographic path ordering / measure (F-count, S-depth)",lpo,path_order,double-blind-2026-07-06:agree,compound; leads with LPO
lexicographic path ordering / polynomial interpretation,lpo,path_order,double-blind-2026-07-06:agree,compound; leads with LPO (dict analog row)
lexicographic path ordering; recursive path ordering,lpo,path_order,double-blind-2026-07-06:agree,dict: LPO/RPO compound leading with LPO maps to lpo
lexicographic product (multiset of recΔ depths / size),multiset_measure,direct_measure,double-blind-2026-07-06:agree,explicit multiset component (dict: lexicographic measures with multiset -> multiset_measure)
lexicographic ranking,lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,lexicographic ranking is a lexicographic measure
"lexicographic ranking (term size, # of S symbols)",lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,pair of counts ordered lexicographically
lexicographic structural measure,lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,lexicographic measure on structure
lexicographic termination measure (pair of naturals),lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,pair of naturals ordered lexicographically
"lexicographic termination measure on (#S, #F)",lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,pair of symbol counts ordered lexicographically
lexicographic triple (cherry / grape / size),lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,triple of counts ordered lexicographically
lexicographic triple (eqW+recΔ count / delta count / size),lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,triple of counts ordered lexicographically
lexicographic triple measure,lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,tuple measure ordered lexicographically
lexicographic/measure argument on term structure,lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,lexicographic measure argument on term structure
lexicographic/multiset path order (RPO),rpo,path_order,double-blind-2026-07-06:agree,explicitly named RPO
lexicographic/multiset path ordering,path_order_generic,path_order,double-blind-2026-07-06:agree,path-order family without single named order (dict: LPO / MPO -> path_order_generic)
lexicographic/multiset path ordering + well-founded induction,path_order_generic,path_order,double-blind-2026-07-06:agree,primary method is generic path ordering; induction is auxiliary
lexicographic/polynomial measure,lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,compound; leads with lexicographic measure
"measure / monotone interpretation into (ℕ,>)",polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,monotone interpretation into N is the interpretation method (dict: monotone algebra interpretation -> polynomial)
measure argument / structural recursion (subterm / RPO),direct_measure,direct_measure,double-blind-2026-07-06:agree,compound; leads with measure argument
measure counting S symbols in third argument,direct_measure,direct_measure,double-blind-2026-07-06:agree,S-count measure (s_count_measure renamed to direct_measure)
measure counting S-occurrences in third argument of F,direct_measure,direct_measure,double-blind-2026-07-06:agree,S-count measure -> direct_measure
measure counting S-symbols in third argument,direct_measure,direct_measure,double-blind-2026-07-06:agree,S-count measure -> direct_measure
measure descent (S-depth of third argument of F),direct_measure,direct_measure,double-blind-2026-07-06:agree,S-depth measure -> direct_measure
measure on S-depth of third argument,direct_measure,direct_measure,double-blind-2026-07-06:agree,S-depth measure -> direct_measure
measure on S-depths of F third arguments,direct_measure,direct_measure,double-blind-2026-07-06:agree,depth measure without explicit multiset wording
measure on S-nesting depth,direct_measure,direct_measure,double-blind-2026-07-06:agree,S-nesting-depth measure -> direct_measure
measure on leading S constructors in third argument,direct_measure,direct_measure,double-blind-2026-07-06:agree,leading-constructor count measure
measure on leading S-constructors in third argument,direct_measure,direct_measure,double-blind-2026-07-06:agree,leading-constructor count measure
measure on size/depth of third argument,direct_measure,direct_measure,double-blind-2026-07-06:agree,size/depth measure on third argument
measure on third argument of F,direct_measure,direct_measure,double-blind-2026-07-06:agree,size measure on a specific argument is a counting measure
measure on third argument with Peano/ℕ well-founded induction,direct_measure,direct_measure,double-blind-2026-07-06:agree,primary is the argument measure; induction is scaffolding
measure on third-argument S-length; recursive path ordering,direct_measure,direct_measure,double-blind-2026-07-06:agree,leads with S-length counting measure; RPO secondary
measure on total S symbols in F third arguments,direct_measure,direct_measure,double-blind-2026-07-06:agree,S-symbol count measure
measure summing S-symbols over F occurrences,direct_measure,direct_measure,double-blind-2026-07-06:agree,summed symbol-count measure
measure summing third-argument sizes over F occurrences,direct_measure,direct_measure,double-blind-2026-07-06:agree,summed size measure
measure-based argument on S-depth of third argument,direct_measure,direct_measure,double-blind-2026-07-06:agree,S-depth measure
measure-based counting argument (symbol counts),direct_measure,direct_measure,double-blind-2026-07-06:agree,symbol-count measure
measure-based lexicographic ordering of symbol-counts,lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,lexicographic tuple of counts
measure-decrease argument,direct_measure,direct_measure,double-blind-2026-07-06:agree,generic decreasing measure
measure-decrease/structural descent,direct_measure,direct_measure,double-blind-2026-07-06:agree,leads with measure decrease; matches measure/structural-descent convention
measure/decrease argument,direct_measure,direct_measure,double-blind-2026-07-06:agree,generic decreasing measure
measure/interpretation (counting nested S) plus induction,direct_measure,direct_measure,double-blind-2026-07-06:agree,leads with counting measure (nested S); interpretation secondary
measure/ordering argument (S-depth),direct_measure,direct_measure,double-blind-2026-07-06:agree,S-depth measure
measure/ordering argument; multiset extension,multiset_measure,direct_measure,double-blind-2026-07-06:agree,"measure via multiset extension, per multiset-extension convention"
measure/ranking argument (counting S-symbols),direct_measure,direct_measure,double-blind-2026-07-06:agree,S-symbol count measure
measure/structural descent,direct_measure,direct_measure,double-blind-2026-07-06:agree,leads with measure; matches dictionary measure/structural-descent rows
measure/structural descent on third argument,direct_measure,direct_measure,double-blind-2026-07-06:agree,leads with measure on specific argument
measure/weight argument (lexicographic pair),lexicographic_measure,direct_measure,double-blind-2026-07-06:agree,pair ordered lexicographically
measure/weight argument counting S-occurrences,direct_measure,direct_measure,double-blind-2026-07-06:agree,S-occurrence count weight measure
"meta-level ""decreasing argument"" / primitive-recursion intuition",structural_descent,structural_descent,double-blind-2026-07-06:agree,informal recursion-terminates intuition without a size mechanism
monotone measure/interpretation μ on symbols,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,monotone symbol-wise interpretation is a monotone-algebra interpretation
monotone polynomial interpretation,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,explicit polynomial interpretation
monotone polynomial/interpretation argument,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,polynomial interpretation argument
monotonic interpretation into naturals,polynomial_interpretation,polynomial,double-blind-2026-07-06:agree,"interpretation into N, not explicitly ordinal"
multiset depth measure; recursive path order; polynomial interpretation,multiset_measure,direct_measure,double-blind-2026-07-06:agree,leads with multiset depth measure
multiset measure of third-argument depths,multiset_measure,direct_measure,double-blind-2026-07-06:agree,multiset of depths
multiset measure of third-argument sizes,multiset_measure,direct_measure,double-blind-2026-07-06:agree,multiset of sizes
multiset measure on eqW-potential,multiset_measure,direct_measure,double-blind-2026-07-06:agree,multiset measure on a potential function
multiset measure on third argument,multiset_measure,direct_measure,double-blind-2026-07-06:agree,multiset measure
multiset measure on third-argument S-depths,multiset_measure,direct_measure,double-blind-2026-07-06:agree,multiset of S-depths
multiset measure on third-argument sizes,multiset_measure,direct_measure,double-blind-2026-07-06:agree,multiset of sizes
multiset of S-depths; Recursive Path Ordering,multiset_measure,direct_measure,double-blind-2026-07-06:agree,leads with multiset of S-depths; RPO secondary
multiset order; lexicographic path order,multiset_measure,direct_measure,double-blind-2026-07-06:agree,leads with multiset ordering as the measure; LPO secondary
multiset ordering,multiset_measure,direct_measure,double-blind-2026-07-06:agree,plain multiset ordering as measure
multiset ordering / measure,multiset_measure,direct_measure,double-blind-2026-07-06:agree,multiset ordering measure
multiset/depth measure on third arguments,multiset_measure,direct_measure,double-blind-2026-07-06:agree,multiset of depths
multiset/lexicographic measure,multiset_measure,direct_measure,double-blind-2026-07-06:agree,leads with multiset
multiset/lexicographic measure (S-count),multiset_measure,direct_measure,double-blind-2026-07-06:agree,leads with multiset over S-counts
multiset/lexicographic measure on third argument,multiset_measure,direct_measure,double-blind-2026-07-06:agree,leads with multiset
multiset/polynomial interpretation,multiset_measure,direct_measure,double-blind-2026-07-06:agree,leads with multiset measure; polynomial secondary
multiset/sum measure on third-argument sizes; RPO/LPO,multiset_measure,direct_measure,double-blind-2026-07-06:agree,leads with multiset/sum measure; path orders secondary
natural measure on nested S constructors,direct_measure,direct_measure,double-blind-2026-07-06:agree,S-nesting depth count
natural-number measure / interpretation,direct_measure,direct_measure,double-blind-2026-07-06:agree,"leads with natural-number measure, matching dictionary row"
natural-number measure on S occurrences,direct_measure,direct_measure,double-blind-2026-07-06:agree,S-occurrence count
natural-number measure on leading S-symbols,direct_measure,direct_measure,double-blind-2026-07-06:agree,leading-S count measure
