evidence_id,surface,variant,method_family,method_subtype,trs_path,trs_sha256,ttt2_result,ceta_status,evidence_authority,evidence_path,evidence_sha256,lean_path,lean_anchor,scope,negative_inference_allowed,notes
SA-POLY-P2-LEAN,schema_a,all,polynomial,non-collapsing polynomial p2,,,not_applicable,not_applicable,lean_exact,lean\KO7Benchmark\SchemaTests\NonCollapsingPolyWitness.lean,f1c2ebd40a563adf4a2c7d64ac1b53359b9bf12849a3f0fcd63ec1f57c69bc10,lean\KO7Benchmark\SchemaTests\NonCollapsingPolyWitness.lean,KO7Benchmark.SchemaTests.NonCollapsingPoly.p2_step_decreases; KO7Benchmark.SchemaTests.NonCollapsingPoly.wf_StepRev_p2,Exact full contextual Schema A Step relation; positive witness p2.,no,
SA-G-COLLAPSE-LEAN,schema_a,all,polynomial,G argument collapse,,,not_applicable,not_applicable,lean_exact,lean\KO7Benchmark\SchemaTests\GCollapseBarrier.lean,34517e51847c61b2ce49ceb2a9aa755f83b2ceba15b116ed8cb0f625afe633ad,lean\KO7Benchmark\SchemaTests\GCollapseBarrier.lean,KO7Benchmark.SchemaTests.GCollapseBarrier.no_g_left_function_form_orients_step,Exact counterexample family for interpretations collapsing a load-bearing G argument.,yes,
SA-ROOTONLY-POLY-LEAN,schema_a,all,polynomial,root-only false positive,,,not_applicable,not_applicable,lean_exact,lean\KO7Benchmark\SchemaTests\ContextClosurePolynomialCounterexample.lean,0f9ea2219814f0ec63d51e17a7230652fb5502874085c1e6c1b36a494e999743,lean\KO7Benchmark\SchemaTests\ContextClosurePolynomialCounterexample.lean,KO7Benchmark.SchemaTests.ContextClosurePolynomialCounterexample.not_step_orienting,Exact contextual counterexample to a polynomial that decreases only on root rules.,yes,
SA-PATH-FAIL-LEAN,schema_a,all,path_order,wrong or incomplete precedence,,,not_applicable,not_applicable,lean_exact,lean\KO7Benchmark\SchemaTests\PathOrderFailurePatterns.lean,76f3bf7e364d38f6665e09072abcf15cef80390e133c9d016d7e138c54fd369d,lean\KO7Benchmark\SchemaTests\PathOrderFailurePatterns.lean,KO7Benchmark.SchemaTests.PathOrderFailurePatterns.no_F_gt_G_route_fails,Exact failure when a delivered precedence makes F not above G; textual omission alone is not a negative witness.,yes,
SA-DP-LEAN,schema_a,all,transformed_calls,DP/subterm projection 3,,,not_applicable,not_applicable,lean_exact,lean\KO7Benchmark\SchemaTests\CandidateD_DependencyPairsWitness.lean,4ad820a13d73f405f352d3bf63196cdb20735ed1b1f3ffcc2d342531b1e748ea,lean\KO7Benchmark\SchemaTests\CandidateD_DependencyPairsWitness.lean,KO7Benchmark.SchemaTests.CandidateD.dp_pair_decreases; KO7Benchmark.SchemaTests.CandidateD.wf_DPPairRev,Extracted dependency-pair relation and third-argument descent.,no,
SANS-FAST-CETA,schema_a_new_system,all,transformed_calls,automatic DP/subterm,TTT2-Artifacts\ttt2\schema-new-system\Schema-Test-A-New-System.trs,77dd6fd397d5236ee86bf08df9ca14a4054db439aa7e8fbbd7007cc1f1c50fac,YES,CERTIFIED,ceta_exact,TTT2-Artifacts\ttt2\schema-new-system\Schema_New_System_FAST.cpf,25fd4fc917f598b951c401a38f3d602bbc7de9ffce3a8ba6ab4e346a02dcf9ce,,,Full context-closed non-duplicating two-rule TRS under the recorded strategy.,no,
SANS-HYDRA-CETA,schema_a_new_system,all,transformed_calls,automatic DP/subterm,TTT2-Artifacts\ttt2\schema-new-system\Schema-Test-A-New-System.trs,77dd6fd397d5236ee86bf08df9ca14a4054db439aa7e8fbbd7007cc1f1c50fac,YES,CERTIFIED,ceta_exact,TTT2-Artifacts\ttt2\schema-new-system\Schema_New_System_HYDRA.cpf,395fbfd91ead69c6b8a33fae8745873f3ddc5cdeffcd3583f78575c0aa58af12,,,Full context-closed non-duplicating two-rule TRS under the recorded strategy.,no,
SANS-LPO-CETA,schema_a_new_system,all,path_order,LPO,TTT2-Artifacts\ttt2\schema-new-system\Schema-Test-A-New-System.trs,77dd6fd397d5236ee86bf08df9ca14a4054db439aa7e8fbbd7007cc1f1c50fac,YES,CERTIFIED,ceta_exact,TTT2-Artifacts\ttt2\schema-new-system\Schema_New_System_LPO.cpf,7dedecd6f8382bdcc264c45e50086454735e80afa8e50ab05cf71efbb82c76e2,,,Full context-closed non-duplicating two-rule TRS under the recorded strategy.,no,
SANS-COMP-CETA,schema_a_new_system,all,transformed_calls,competition proof,TTT2-Artifacts\ttt2\schema-new-system\Schema-Test-A-New-System.trs,77dd6fd397d5236ee86bf08df9ca14a4054db439aa7e8fbbd7007cc1f1c50fac,YES,CERTIFIED,ceta_exact,TTT2-Artifacts\ttt2\schema-new-system\Schema_New_System_COMP.cpf,28fbff3ff85f7fcd39fee1375ad3669aae9591cf31633a82650cecf3faddddc5,,,Full context-closed non-duplicating two-rule TRS under the recorded strategy.,no,
SANS-KBO-CETA,schema_a_new_system,all,kbo,KBO,TTT2-Artifacts\ttt2\schema-new-system\Schema-Test-A-New-System.trs,77dd6fd397d5236ee86bf08df9ca14a4054db439aa7e8fbbd7007cc1f1c50fac,YES,CERTIFIED,ceta_exact,TTT2-Artifacts\ttt2\schema-new-system\Schema_New_System_KBO.cpf,1c8389ef78199921987d5bdcc230bfbddd918ec6a61c27f6d37ee3751fdcdc35,,,Full context-closed non-duplicating two-rule TRS under the recorded strategy.,no,
SANS-POLY-CETA,schema_a_new_system,all,polynomial,direct polynomial,TTT2-Artifacts\ttt2\schema-new-system\Schema-Test-A-New-System.trs,77dd6fd397d5236ee86bf08df9ca14a4054db439aa7e8fbbd7007cc1f1c50fac,YES,CERTIFIED,ceta_exact,TTT2-Artifacts\ttt2\schema-new-system\Schema_New_System_POLY.cpf,0fc33bde1052b6bd65fbbf711a01c38fc93b81cc5c003f2367633eac71675a44,,,Full context-closed non-duplicating two-rule TRS under the recorded strategy.,no,
SANS-MAT2-CETA,schema_a_new_system,all,matrix,matrix dimension 2,TTT2-Artifacts\ttt2\schema-new-system\Schema-Test-A-New-System.trs,77dd6fd397d5236ee86bf08df9ca14a4054db439aa7e8fbbd7007cc1f1c50fac,YES,CERTIFIED,ceta_exact,TTT2-Artifacts\ttt2\schema-new-system\Schema_New_System_MAT2.cpf,afe79224807c66dc0eddfda2a2a20de35ba13edf53c9f2d477ec8e2f12b7d620,,,Full context-closed non-duplicating two-rule TRS under the recorded strategy.,no,
SANS-MAT3-CETA,schema_a_new_system,all,matrix,matrix dimension 3,TTT2-Artifacts\ttt2\schema-new-system\Schema-Test-A-New-System.trs,77dd6fd397d5236ee86bf08df9ca14a4054db439aa7e8fbbd7007cc1f1c50fac,YES,CERTIFIED,ceta_exact,TTT2-Artifacts\ttt2\schema-new-system\Schema_New_System_MAT3.cpf,0d964d95dcd78313c55e9dd75040c7bacaaa8f6ac1c918b34d55306e0269188b,,,Full context-closed non-duplicating two-rule TRS under the recorded strategy.,no,
SANS-DIRECT-LEAN,schema_a_new_system,all,direct_measure,rule-extracted third-argument measure,,,not_applicable,not_applicable,lean_exact,lean\KO7Benchmark\SANSTests\LinearWitness.lean,e2a1bcf4c866b9c36d0353f24364b82250c153802aaa60fb4cd5b5b00a92ab98,lean\KO7Benchmark\SANSTests\LinearWitness.lean,KO7Benchmark.SANSTests.LinearWitness.mu_step_decreases; KO7Benchmark.SANSTests.LinearWitness.wf_StepRev,Full contextual SANS Step relation; direct first-order descent with unary inert G.,no,
SANS-DP-LEAN,schema_a_new_system,all,transformed_calls,DP/subterm projection 3,,,not_applicable,not_applicable,lean_exact,lean\KO7Benchmark\SANSTests\DependencyPairsWitness.lean,8bb65a083a394eb8fa1d639ed13909b784890ee88691a4abad8eb6c9085ae3c7,lean\KO7Benchmark\SANSTests\DependencyPairsWitness.lean,KO7Benchmark.SANSTests.DependencyPairsWitness.dp_pair_decreases; KO7Benchmark.SANSTests.DependencyPairsWitness.wf_DPPairRev,Extracted dependency-pair relation and third-argument descent.,no,
TEST01-REGULAR-LPO,test01,regular,path_order,LPO recDelta>app,TTT2-Artifacts\ttt2\ko7\KO7_full_step.trs,821bc72d4ce3982e939f13d810ca7235613666dc59350f697351005896d6d981,YES,CERTIFIED,ceta_exact,TTT2-Artifacts\ttt2\ko7\KO7_LPO.cpf,32b8b86b71e066c975a6ad8748b699a9ae4ccd3113d5575475dc9f63d12e5828,,,Exact eight-rule KO7 TRS.,no,
TEST01-REGULAR-FAST,test01,regular,transformed_calls,DP/subterm projection 3,TTT2-Artifacts\ttt2\ko7\KO7_full_step.trs,821bc72d4ce3982e939f13d810ca7235613666dc59350f697351005896d6d981,YES,CERTIFIED,ceta_exact,TTT2-Artifacts\ttt2\ko7\KO7_FAST.cpf,3e778d42a7e518c96a54abf62c9113097c19f39aacf525fa266a6550a2598997,,,Exact eight-rule KO7 TRS.,no,
TEST01-REGULAR-COMP,test01,regular,transformed_calls,COMP structural proof,TTT2-Artifacts\ttt2\ko7\KO7_full_step.trs,821bc72d4ce3982e939f13d810ca7235613666dc59350f697351005896d6d981,YES,CERTIFIED,ceta_exact,TTT2-Artifacts\ttt2\ko7\KO7_COMP.cpf,86e0b6456803cd3834f07d090116b8bd7986b69db9bddab8cbe7d5735172ffb6,,,Exact eight-rule KO7 TRS.,no,
TEST01-CONTROL-LPO,test01,control,path_order,LPO recDelta>app,TTT2-Artifacts\ttt2\ko7\KO7_full_step.trs,821bc72d4ce3982e939f13d810ca7235613666dc59350f697351005896d6d981,YES,CERTIFIED,ceta_renaming_transport,TTT2-Artifacts\ttt2\ko7\KO7_LPO.cpf,32b8b86b71e066c975a6ad8748b699a9ae4ccd3113d5575475dc9f63d12e5828,,,Eight-rule fruit surface via the documented bijective signature renaming of KO7.,no,No separate fruit CPF; the certificate is transported only through the lexical isomorphism.
TEST01-CONTROL-FAST,test01,control,transformed_calls,DP/subterm projection 3,TTT2-Artifacts\ttt2\ko7\KO7_full_step.trs,821bc72d4ce3982e939f13d810ca7235613666dc59350f697351005896d6d981,YES,CERTIFIED,ceta_renaming_transport,TTT2-Artifacts\ttt2\ko7\KO7_FAST.cpf,3e778d42a7e518c96a54abf62c9113097c19f39aacf525fa266a6550a2598997,,,Eight-rule fruit surface via the documented bijective signature renaming of KO7.,no,No separate fruit CPF; the certificate is transported only through the lexical isomorphism.
TEST01-CONTROL-COMP,test01,control,transformed_calls,COMP structural proof,TTT2-Artifacts\ttt2\ko7\KO7_full_step.trs,821bc72d4ce3982e939f13d810ca7235613666dc59350f697351005896d6d981,YES,CERTIFIED,ceta_renaming_transport,TTT2-Artifacts\ttt2\ko7\KO7_COMP.cpf,86e0b6456803cd3834f07d090116b8bd7986b69db9bddab8cbe7d5735172ffb6,,,Eight-rule fruit surface via the documented bijective signature renaming of KO7.,no,No separate fruit CPF; the certificate is transported only through the lexical isomorphism.
TEST01-KBO-SEARCH,test01,regular,kbo,KBO,TTT2-Artifacts\ttt2\ko7\KO7_full_step.trs,821bc72d4ce3982e939f13d810ca7235613666dc59350f697351005896d6d981,MAYBE,NOT_CERTIFIED_SEARCH_INCONCLUSIVE,search_inconclusive,TTT2-Artifacts\ttt2\ko7\KO7_KBO.cpf,0c46f256554927cc2f3c2b7e2cfac4d96f129ee43cef41cc05eac15cabae5fc1,,,The recorded bounded TTT2 strategy did not produce a termination proof.,no,Never use this row to infer mathematical impossibility.
TEST01-POLY-SEARCH,test01,regular,polynomial,POLY,TTT2-Artifacts\ttt2\ko7\KO7_full_step.trs,821bc72d4ce3982e939f13d810ca7235613666dc59350f697351005896d6d981,MAYBE,NOT_CERTIFIED_SEARCH_INCONCLUSIVE,search_inconclusive,TTT2-Artifacts\ttt2\ko7\KO7_POLY.cpf,5a0997e0bb4d0cd8774d4b8d1ef9a9c0124281ee8110d5f30f85084f0e6c7b4b,,,The recorded bounded TTT2 strategy did not produce a termination proof.,no,Never use this row to infer mathematical impossibility.
TEST01-MAT2-SEARCH,test01,regular,matrix,MAT2,TTT2-Artifacts\ttt2\ko7\KO7_full_step.trs,821bc72d4ce3982e939f13d810ca7235613666dc59350f697351005896d6d981,MAYBE,NOT_CERTIFIED_SEARCH_INCONCLUSIVE,search_inconclusive,TTT2-Artifacts\ttt2\ko7\KO7_MAT2.cpf,56a9b04a3661f6e401fd692fceeece25255e8dbe55ec12c9832b192904e6832a,,,The recorded bounded TTT2 strategy did not produce a termination proof.,no,Never use this row to infer mathematical impossibility.
TEST01-MAT3-SEARCH,test01,regular,matrix,MAT3,TTT2-Artifacts\ttt2\ko7\KO7_full_step.trs,821bc72d4ce3982e939f13d810ca7235613666dc59350f697351005896d6d981,MAYBE,NOT_CERTIFIED_SEARCH_INCONCLUSIVE,search_inconclusive,TTT2-Artifacts\ttt2\ko7\KO7_MAT3.cpf,e1d89f657ccea51eba26dee3c488c0e287fce7bf5c9772dd7c41f310c4401fa0,,,The recorded bounded TTT2 strategy did not produce a termination proof.,no,Never use this row to infer mathematical impossibility.
TEST01-DP-LEAN,test01,regular,transformed_calls,DP/subterm projection 3,,,not_applicable,not_applicable,lean_exact,lean\KO7Benchmark\KO7DependencyPairs.lean,525e1674d55400903e574f27e15626253ea07c46225a2c4a379af99ed0a17ec2,lean\KO7Benchmark\KO7DependencyPairs.lean,KO7Benchmark.KO7DependencyPairs.dp_pair_decreases; KO7Benchmark.KO7DependencyPairs.wf_DPPairRev,Exact KO7 extracted dependency-pair relation.,no,
SBN-A-LPO-CETA,schema_b_new_system,all,path_order,slot A LPO,TTT2-Artifacts\ttt2\schema\Test-07-Schema-Kernel.trs,65698e5ccec51ff49ca5b1763c3befafa71002725885c7790544e786ce828b9d,YES,CERTIFIED,ceta_exact,TTT2-Artifacts\ttt2\schema-b-new-system\Schema_B_New_System_LPO.cpf,2edf5301eafe891f4aa71567c704898ea5a6c75a3067a8a615ce64a1eda9007f,,,Slot A on the byte-identical duplicating Schema B TRS.,no,
SBN-D-DP-CETA,schema_b_new_system,all,transformed_calls,slot D DP/subterm,TTT2-Artifacts\ttt2\schema\Test-07-Schema-Kernel.trs,65698e5ccec51ff49ca5b1763c3befafa71002725885c7790544e786ce828b9d,YES,CERTIFIED,ceta_exact,TTT2-Artifacts\ttt2\schema-b-new-system\Schema_B_New_System_FAST.cpf,00a6dfc0fadcd0bb546ddd264ab149ad39c7b01caa7b22c0f6dd2ce6ec74c3a3,,,Slot D on the byte-identical duplicating Schema B TRS.,no,
SBN-B-POLY-LEAN,schema_b_new_system,all,polynomial,slot B nonlinear polynomial,,,not_applicable,not_applicable,lean_exact,lean\KO7Benchmark\SchemaTests\NonCollapsingPolyWitness.lean,f1c2ebd40a563adf4a2c7d64ac1b53359b9bf12849a3f0fcd63ec1f57c69bc10,lean\KO7Benchmark\SchemaTests\NonCollapsingPolyWitness.lean,KO7Benchmark.SchemaTests.NonCollapsingPoly.wf_StepRev_p2,Exact slot B interpretation on the full contextual Step relation.,no,
SBN-C-MPO-LEAN,schema_b_new_system,all,path_order,slot C MPO,,,not_applicable,not_applicable,lean_exact,lean\KO7Benchmark\SchemaTests\SchemaBNewSystemFullProofs.lean,cf905067e523b77f00c104c64f8e44688d489c8ddac295514aa22d8de9846030,lean\KO7Benchmark\SchemaTests\SchemaBNewSystemFullProofs.lean,KO7Benchmark.SchemaTests.SchemaBNewSystemFullProofs.slotC_MPO_full_certificate,Exact slot C full contextual certificate.,no,
SBN-E-EXP-LEAN,schema_b_new_system,all,interpretation,slot E exponential,,,not_applicable,not_applicable,lean_exact,lean\KO7Benchmark\SchemaTests\ExponentialInterpretationWitness.lean,e99c75373749956b440af553650ed9a7458b5d7f9fe5feb5809801ec6e3124d9,lean\KO7Benchmark\SchemaTests\ExponentialInterpretationWitness.lean,KO7Benchmark.SchemaTests.ExponentialInterp.wf_StepRev_expInterp,Exact slot E interpretation on the full contextual Step relation.,no,
TEST03-ANSWERKEY-LEAN,test03,all,ordinal_scaffold,semantic skeleton reference,,,not_applicable,not_applicable,lean_exact,lean\KO7Benchmark\Test03_Ordinal_AnswerKey.lean,f27d8f261e6fbb8891abb6d593e41459862b55585edcd532b2bc20f918ce8e33,lean\KO7Benchmark\Test03_Ordinal_AnswerKey.lean,KO7Benchmark.Test03Ordinal.mu_decreases_of_hard_obligations; KO7Benchmark.Test03Ordinal.canonical_answer_key_sound,"Identifies the viable scaffold, hard obligations, and closed easy cases.",no,
